hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
07051190,"Cabbage Lettuce, Fresh Or Chilled, Nes",11976,2998687,1986762
07061090,"Carrots And Turnips, Fresh Or Chilled, Nes",129,32279,22025
07069090,"Salad Betroot..Radishes & Similar Edible Roots,Fresh Or Chilled, Nes",1636,439857,329167
07070090,"Cucumbers And Gherkins, Fresh Or Chilled, Nes",1306,326850,210381
07082010,"Beans,Shelled Or Unshelled, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",8,3618,3221
07082090,"Beans, Shelled Or Unshelled Fresh Or Chilled, Nes",441,137981,78946
07092090,"Asparagus, Fresh Or Chilled, Nes",251,78438,51902
07094090,"Celery Other Than Celeric, Fresh Or Chilled, Nes",403,126073,97731
07095190,"Mushrooms, Fresh Or Chilled, Nes",263,164692,109103
07096019,"Sweet Peppers, Fresh Or Chilled, Nes",480,120630,93657
07096099,"Other Fruits Of Genus Capiscum Or Pimenta,Fresh Or Chilled,Nes,(excl. Wrd/Ca upto 2.5kg)",82571,6244747,2078831
07099390,"Pumpkins, squash and gourds (Cucurbita spp), EXCL. Wrapped/canned upto 2.5 Kg",157,49762,45104
07099990,"Other Vegetables NES, EXCL. Wrapped/canned upto 2.5 Kg",1146594,72046888,39277037
07102190,"Shelled Or Unshelled Peas Uncooked/Cooked By Steaming/Boiling Frzn, Nes",3000,541573,366260
07104090,"Sweet Corn Uncooked Or Cooked By Steaming Or Boiling Frozen, Nes",45000,6162877,4803705
07122090,"Dried Onions Cut, Whole, Broken, Powder, Nes",19640,6253562,4775582
07123110,"MUSHROOMS OF THE GENUS AGARICUS, WRAPPED/CANNED upto 2.5 kg",8,3928,3890
07123210,"WOOD EARS (AURICULARIA SPP), WRAPPED/CANNED upto 2.5 kg",1125,211218,138038
07123990,"MUSHROOMS,WOOD EARS(AURICULARIA SPP),JELLY FUNGI..& TRUF,NES,(Excl.WRAP/CANN upto 2.5kg)",5,6055,5995
07129010,"Dried vegetable, whole ............., Sweet corn",224,112144,53865
07129092,Dihydrated chives,94,23531,23068
07129092,Dihydrated chives imported by biscuits and bakery products manufacturing industry,4500,2799253,1766880
07129099,"Other Dried Vegetable, Whole, Cut Sliced... Not Further Nes,(Excl.Wrap/Can upto 2.5 kg)",151452,33580165,17289748
07131090,"Dried Peas Shelled, Nes",30311110,1450502719,1154274244
07132090,"Dried Chickpeas (Garbanzos) Shelled, Nes",908840,91559874,63329315
07133190,"Dried Beans Of The Species, Vigna Mungo(L) Hepper/V.Radiata, Shelled, Nes",364530,59938481,43271398
07133210,"Dried Small Red(Adzuki)Beans, Shelled, Wrapped/Canned upto 2.5 kg",9,1465,1304
07134090,"Dried Lentils, Shelled, Nes",31866337,2747870053,2229517279
07139090,"Dried Leguminous Vegetables, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",13270000,619225588,513278640
07142090,"Sweet Potatoes, Fresh Or Dried, Chilled Or Frozen, Nes",510,159586,123191
08011110,"Desiccated, Coconuts Fresh Or Dried Wrap./Canned upto 2.5Kg",0,627,614
08011190,"Desiccated Coconuts Fresh Or Dried,Nes",25100,4958680,4836834
08011290,Other coconuts in the inner shell (endocarp) EXCL. Wrapped/canned upto 2.5 Kg,1244444,46761140,40818701
08011990,"Coconuts, Not Desiccated,Fresh Or Dried,Nes",20840,2608464,2045654
08013290,"Casweh Nuts, Shelled, Fresh Or Dried, Nes",201750,103347409,100006635
08021190,"Almonds In Shell, Fresh Or Dried, Nes",226,113339,61413
08021210,"Almonds Shelled Fresh Or Dried,Wrapped/Canned Upto 2.5kg",10,5006,4908
08021290,"Almonds Shelled, Resh Or Dried,Nes",178695,88906051,86742007
08023290,"Walnuts Shelled Fresh Or Dried, Nes",33000,16430078,10128885
08025210,"Pistachios, Shelled, Wrapped/canned upto 2.5 Kg",10,10014,9816
08025290,"Pistachios, Shelled, EXCL. Wrapped/canned upto 2.5 Kg",22000,21897441,18220950
08029919,Betelnuts,341270,84899261,66344577
08041011,"Dates, Fresh,Wrapped/Canned Upto 2.5kg",20796,5951002,3062003
08041019,"Dates, Fresh, Nes",10451884,1782867977,1159916329
08041021,"Dates, Dried, Wrapped/Canned Upto 2.5kg",10039,2984884,2970746
08041029,"Dates, Dried, Nes",451585,113824944,41103207
08042029,"Figs, Dried, Nes",22000,5474011,4858920
08044090,"Avocados Fresh Or Dried, Nes",2401,1096744,700375
08045019,"Guavas Fresh Or Dried, Nes",15,5632,1841
08045021,"Mangosteens, Fresh Or Dried,Wrapped/Canned Upto 2.5kg",95,35742,12681
08045029,"Mangosteens, Fresh Or Dried, Nes",345,129541,109326
08045039,"Mangoes Fresh Or Dried, Nes",5195,1950647,1270826
08051090,"Oranges, Fresh Or Dried, Nes",20483971,1784470395,1685547025
08052190,Mandarins (including tangerines and satsumas),10054868,875922701,826035043
08054090,"GRAPEFRUIT, NES",27,10824,8893
08055090,"CITRUS FRUIT,FRESH OR DRIED, LEMONS ,NES",608,155425,120179
08059019,"Citrus Fruit, Fresh Nes, Nes",82324,7095712,3260914
08061090,"Fresh Grapes, Nes",14714356,1465779693,810318780
08062010,"Dried Grapes,Wrapped/Canned Upto 2.5kg",340,141436,121473
08062090,"Dried Grapes, Nes",1257450,313001136,294322312
08071190,"Watermelons, Fresh, Nes",40,12503,9816
08071990,"Melons, Fresh, (Excl. Watermelons),Nes",631,197442,161351
08072090,"Papaws (Papayas), Fresh, Nes",752,282346,222449
08081090,"Apples, Fresh, Nes",23371239,2036280455,1985190724
08083090,"Pears, EXCL. Wrapped/canned upto 2.5 Kg",2101834,183106583,180411184
08092190,"Sour cherries (Prunus cerasus), EXCL. Wrapped/canned upto 2.5 Kg",50,38439,15729
08093090,"Peaches, Including Nectarines, Fresh,Nes",60,22804,16956
08094019,Plums EXCL.Wrapped/canned upto 2.5 kg,2183,414928,191592
08101010,"Strawberries, Fresh, Wrapped/Canne Upto 2.5kg",3,1825,1790
08102010,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh,Wrapped/Cann Upto 2.5kg",96,61008,48039
08102090,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh, Nes",18,12007,10667
08105090,"Kiwifruit, Fresh, NES",1891,620739,359836
08106090,"DURIANS , NES",321,120383,85897
08107090,"Other persimmons, EXCL. Wrapped/canned upto 2.5 Kg",887,333189,238725
08109090,"Other Fruit, Fresh, Nes,(Excl. Wrapped/Canned Upto 2.5kg)",3124882,312990093,138215746
08112000,"Raspberries, blackberries, mulberries, loganberries, b/w or red...gooseberries",3000,578269,460125
08132090,"Dried Prunes,NES",280425,80698064,69589612
08133090,"Dried Apples, NES",640,1319043,1274646
08134010,"Other Dried Fruit, Nes, Wrapped/Canned Upto 2.5KG",14220,3480904,1395835
08134090,"Other Dried Fruit, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",1536236,154687967,87868567
08135099,"Mixtures Of Dried Fruit And Nuts, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",500,500355,46013
09011110,"Coffee, Not Roasted Or Decaffeinated",2,2506,1227
09011190,"Coffee, Not Roasted Or Decaffeinated",3060,3055148,2610320
09012110,"Roasted coffee, not decaffeinated,wrapp/cann upto 2.5kg",360,267205,261940
09012190,"Roasted coffee, not decaffeinated,Excl wrapped canned",7000,3942738,3865050
09019010,"Coffee husks and skins,coffee substitutes containing coffee Wrapped/canned upto 2.5 k",601,349476,342607
09021000,"Green Tea,Whether Or Not Flavoured, In Immediate Packings <=3 Kg",720,901936,573627
09022000,"Green Tea,Whether Or Not Flavoured, Nes",1,867,340
09023000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of <=3kg",472,181520,126519
09024000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of >3kg",1,369,369
09041190,"Pepper, Neither Crushed Nor Ground, Nes",49030,22664768,22346587
09041200,"Pepper, Crushed Or Ground",41,23835,23583
09042190,"Fruits of the genus Capsicum...,: Dried or neither crushed or ground, EXCL.Wrapped/canne",5863725,1616142136,1515262142
09042210,"Fruits of the genus Capsicum ...,: crushed or ground, Wrapped/canned upto 2.5 Kg",1023,510665,454864
09061190,"Neither crushed nor ground:Cinnamon (Cinnamo. Zeylan. Blume), Excl. Wr./Can.up",811000,174830703,168883789
09062000,"Cinnamon And Cinnamon-Tree Flowers, Crushed Or Ground",74875,21344275,20625180
09071090,"Cloves (whole fruit, cloves and stems), Neither Crushed or ground, EXCL. Wrapped/canned",158200,78757064,77644560
09081190,"Nutmeg :Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",44025,16488160,16188854
09082190,"Mace : Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",21200,21101346,20809920
09083190,Cardamoms :Neither Crushed or ground. EXCL. Wrapped/canned upto 2.5 Kg,586415,1276625326,1111563227
09092190,Seeds of coriander : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,100000,24147110,21173516
09093110,Seeds of Cumin : Neither crushed or ground Wrapped/canned upto 2.5 Kg,14,10332,10332
09093190,Seeds of Cumin : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,2590695,1103335451,779343983
09096190,"Seeds of anise, badian, caraway...; juniper berries : Neither crushed or ground EXCL. Wr",1060525,244872584,142272711
09101190,Ginger : Neither Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,17486052,2076457047,1182637563
09101290,Ginger : Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,90000,34696372,24846750
09103090,"Turmeric(Curcuma), Nes",2040000,346687291,335774685
09109110,MIXTURES REFFERED TO IN NOTE 1(B) TO THIS CHAP WRAP/CAN UPTO 2.5 KG,11619,2908037,1792302
09109910,"Other Spices, Nes, Wrapped/Canned upto 2.5 kg",2008,382762,325744
09109990,"Other Spices, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",563230,50939187,48501651
10011990,"Durum wheat, Other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",1192102284,40649603715,38429202871
10019990,"Other Seed, NES, EXCL, Wrapped/canned upto 2.5 Kg",17000000,628739217,621598200
10039090,Barley other than Seed EXCL. Wrapped/canned upto 2.5 Kg,112550,6079258,4265573
10049090,"Oats other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",3000,322962,236198
10051010,"Maize Seed, wrapped/canned upto 2.5 kg",46537,23920085,13349607
10051090,"Maize Seed, Excl. wrapped/canned upto 2.5 kg",20163,11166838,7111447
10059090,"Other Maize, Excluding wrapped/canned upto 2.5 kg",104625340,4997854066,2952037306
10061090,Rice in the husk (paddy or rough) Excl. wrapped/canned upto 2.5 kg,40,25055,24540
10063019,Semi-Milled Or Wholly Milled Rice,1,181,168
10063091,Semi-Milled Or Wholly Milled Rice,38201,7411363,4687386
10063099,Semi-Milled Or Wholly Milled Rice,215578116,11886722955,10251536796
10071090,"Grain sorghum Seed, EXCL. Wrapped/canned upto 2.5 Kg",834040,43876174,27719456
10081090,"Buckwheat, Nes",2000,215283,156443
10082910,"Millet other than Seed, Wrapped/canned upto 2.5 Kg",12,1517,1043
10082990,"Millet other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",2990,235776,183437
11010090,"Wheat Or Meslin Flour, Excl. wrapped/canned upto 2.5 kg",900,78852,66574
11022000,Maize (Corn) Flour,46560,5845342,5730581
11029000,"Other Flour Than Of Rye,Maize & Rice Flour",105,10368,7411
11041210,Rolled or flaked grains of oats (Wrapped/canned upto 2.5 kg.),10,6259,6135
11041290,Rolled or flaked grains of oats in bulk,1500,225299,147240
11063000,"Flour, Meal And Powder Of Products Of Chapter 8",309,193024,132639
11081100,Wheat Starch,225,53518,19325
11081200,Maize (Corn) Starch,1220100,91721669,77504191
11081300,Potato Starch,450,62349,51350
11081400,Manioc (Cassava) Starch,416000,34701740,23540977
11090000,"Wheat Gluten, Wheather Or Not Dried",30,7510,7362
12019090,"Soya beans, whether or not broken other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",175295469,10532582176,9726247878
12024190,"Ground-nuts, not roasted or otherwise cooked, whether in Shell, EXCL. Wrapped/canned up",1257435,125868650,122324293
12024290,"Other Ground-nuts, Shelled whether or not broken EXCL. Wrapped/canned upto 2.5 Kg",2451700,260155368,237042026
12030000,Copra,2206498,413619351,399701212
12051090,"LOW ERUCIC ACID RAPE OR COLZA SEEDS, Nes",82837565,5266939748,5227968259
12060090,"Sunflower Seeds, Whether Or Not Broken, Nes",35650,6167376,3370876
12073090,"Other Castor oil seeds, EXCL. Wrapped/canned upto 2.5 Kg",1,872,859
12074090,"Sesamum Seeds, Nes",120375,37678429,25449514
12075090,"Mustared Seeds, Nes",4511710,349396822,344108420
12077010,Melon seeds Wrapped/canned upto 2.5 Kg,622,3015756,2956334
12077090,"Other Melon seeds, EXCL. Wrapped/canned upto 2.5 Kg",1660,13386222,13055280
12079910,"Other Oil Seeds And Oleaginous Fruits, Nes, Wrapped/Canned upto 2.5 kg",5,2503,614
12079990,"Other Oil Seeds And Oleaginous Fruits, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",399159,75557200,73090059
12093000,Seeds Of Herbaceous Plants Cultivated Principally For Their Flowers,220,110136,103068
12099100,Vegetable Seeds Of A Kind Used For Sowing,51944,190733490,184386215
12099990,Other than Tobacco Seeds,2539736,668254508,251109831
12119029,"Plants Or Parts, Used In Pharmacy, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",896701,144608027,129783535
12119091,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",13741,2232226,943178
12119099,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",1952684,95621485,91629953
12122111,Seaweeds and other algae: Fit for human consumption Wrapped/canned upto 2.5 Kg,3001,2986539,2871879
12122119,Seaweeds and other algae: Fit for human consumption EXCL. Wrapped/canned upto 2.5 Kg,1,781,773
12122911,Seaweeds and other algae: Other than Fit for human consumption Wrapped/canned upto 2.5,2259,1974242,999728
12122919,Seaweeds and other algae: Other than Fit for human consumption EXCL. Wrapped/canned upto,6600,1050263,1014116
12130010,"Cereal Straw And Husks, Wrapped/Canned upto 2.5 kg",118,217790,213498
13012000,Gum Arabic,50,115537,108590
13019000,"Natural gums, resins, gum-resins,natural oleoresesins and balsams (excl. gum arabic)",323278,86935418,77350350
13021900,"Other Vegetable Saps And Extracts,Nes(Exl.Opium,Liquorice,Hops,Pyrethrum).",10958,60907938,59406690
13022000,"Pectic Substances, Pectinates And Pectates",37500,34512482,29873156
13023100,Agar-Agar,1,62583,61350
13023200,"Mucilages And Thickeners Of Locust Beans, Bean Seeds And Guar Seeds",9725,3948160,3870418
13023900,"Mucilages&Thickeners,Derived From Veg.Prod.(Ex.Locastbeans/Seeds,Guarseeds",3202,2967773,2861098
14011000,Bamboos,110000,6856119,6073650
14049091,"Vegetable Products, Nes Wraped/Canned upto 2.5 kg",4200,906471,853284
14049099,"Vegetable Products, Nes (Excl. Wrapped/Canned upto 2.5 kg)",58430,16986696,15171354
15041000,Fish-Liver Oils And Their Fractions,4320,9428390,9242533
15042000,"Fish Fats, Oils And Fractions (Excl. Fish Liver Oils)",303390,71893407,45812315
15050000,Wool grease and fatty substances derived therefrom(including lanolin).,4050,2821515,2355840
15071000,"CRUDE OIL, WHETHER OR NOT DEGUMMED",31750000,4545100464,4492507125
15079010,Refined Soya-Bean Oil,9641,8530126,8362073
15089000,"Ground-Nut Oil (Excl. Crude) And Fractions,Not Che.Modified",920,691134,677516
15092010,Extra virgin olive oil,24206,10482023,6858930
15092090,Extra virgin olive oil,22228,8748415,5449655
15093010,Virgin olive oil,20,12515,2454
15093090,Virgin olive oil,2400,4708581,4615803
15099010,Olive oil and fractions (excl. virgin) wrapped/canned upto 2.5kg,772,372756,282321
15099090,Olive oil and fractions (excl. virgin) Excl. wrapped/canned upto 2.5kg,2133,1013402,944596
15109000,"Crude olive pomace oil, OTHERS",69,35684,22454
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,51594346,7067341301,6939972121
15121900,Sunflower-Seed And Safflower Oil (Excl. Crude) And Fractions Thereof,174096,40452015,39865418
15131100,Crude Coconut (Copra) Oil,651,500989,336137
15131900,"Coconut (copra) oil (excl. crude) & its fractions, refined or not but not chem. modified",20453,5486528,5313213
15132100,Crude Palm Kernel Or Babassu Oil,1209535,302875404,296902255
15132900,"Refined Palm Kernel/Babassu Oil & Fractions,Not Chem.Modifd",654931,139358555,134766441
15141100,"LOW ERUIC ACID RAPE OR COLZA OIL AND ITS FRACTIONS, CRUDE OIL",1,375,368
15149900,"RAPE,COLZA OR MUSTARD OIL&FRAC.THEREOF,WHET.OR NOT REF.BUT NOT CHE.MOD.NES",53163,12620595,10203327
15151100,Crude Linseed Oil,75,455293,446322
15152900,"Refined Maize (Corn) Oil & Fractions,Not Chemically Modifd",18810,6565220,4454415
15153000,Castor Oil And Its Fractions,25275,13115745,12857917
15155000,Sesame Oil And Fractions,5043,1008536,907246
15159000,"Oth.Fixed Veg.Oil,Fats & Frac.,Nes(Ex.Maize/Castor/Tung/Sesamre/Jojobaoil)",3114,6574233,6394157
15161000,"Animal Fats And Oils And Fractions, Hydrogenated, Etc",45150,4187564,3952903
15162000,"Vegetable fats and oils and their fractions, hydrogenated, etc",1738479,335083631,325202614
15163000,Microbial fats and oils and their fractions,1191,1040029,787633
15171010,"Margarine, excluding liquid margarine in 10kg or above packing",540120,86373094,78391582
15179000,"Edible Preparations Of Animal/Veg.Fats And Oils,Nes Incld.Liquid Margarine",165924,35728271,32996145
15180000,"Animal Or Vegetable Fats And Oils... Chemically Modified, Nes",69620,14513298,13834670
15211000,Vegetable waxes (excl. triglycerides),800,3889681,3812995
15219000,"Beeswax, other insect waxes and spermaceti",120,510925,496488
16010000,"Sausages &Similar Prod.;Of Meat,Meat Offal,Blood,Prep.Based On These Prod.",20160,3706994,3649098
16023200,"Prepared/Preserved Meat,Offal/Blood Of Fowls Of Species Gallus Domesticus",35648,9425915,9263835
16025000,Preparations Of Meat Of Bovine Animals,14206,17702966,17324111
16041400,"Prep./Preserved Tuna,Skipjack & Bonito Ex.Minced Whole/Inpieces",3262,2324719,1067093
16041600,Prepared Or Preserved Anchovies (Excl. Minced) Whole/Inpieces,28,5840,5783
16043200,Caviar substitutes,28,28037,27485
16051000,"Crab, Prepared Or Preserved",10,10014,9816
17011400,Other cane sugar,63134860,3072186118,3038993385
17019900,"Cane Or Beet Sugar, In Solid Form, Nes Including Chemically Kue Sucoose",23356302,1871168978,1343808719
17021100,Lactose And Lactose Syrup Cont.By Weight>=99% Lactose Calc. On Dry Matter,53460,28230879,27689980
17022000,Maple Sugar And Maple Syrup,3744,712353,689083
17023010,"Dextrose, Anhydrous/Monohydrate Bp/Vsp Pyrogen Free",261500,17763661,17413645
17023020,"Glucose & Glucose Syrup,Containing <20% Fructose,Liquid Glucose",24000,1411875,1384056
17023090,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO",150570,12469193,8877468
17024000,"Glucose And Glucose Syrup, Containing >=20% But <50% Fructose",0,8499,8331
17026000,"Other Fructose And Fructose Syrup, Containing >50% Fructose",238,185176,170644
17029000,"Artificial honey, caramel and other sugars (incl. invert sugar), nes",2601874,147259812,94646072
17031000,Cane Molasses Resulting From The Extraction Or Refining Of Sugar,10551362,352345578,205536461
17039000,Oth.Molasses Resulting From The Extraction/Refining Of Sugar (Ex.Cane),4,2504,2454
17041010,"Chewing Gum Not Containing Cocoa, TV",14900,5567921,5070872
17041090,Chewing gum excl. Put up for retail sale,2870,1072033,654536
17049010,"Sugar confe (incl. white chocolate), not cont cocoa,nes Put up for retail sale",53864,20604701,16837060
17049090,"Sugar confei (incl. whit chocole), not cont cocoa, nes excl. Put up for retail sale",40944,15467495,12778650
18031000,"Cocoa Paste, Not Defatted",10975,3766218,3504312
18032000,"Cocoa Paste, Wholly Or Partly Defatted",4000,1490101,1472400
18040000,"Cocoa Butter, Fat And Oil",28,14017,6871
18050000,"Cocoa Powder, Not Containing Added Sugar Or Other Sweetening Matter",203401,39221423,38460638
18061000,"Cocoa Powder, Containing Added Sugar Or Other Sweetening Matter",588,147196,72148
18062000,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG, OR IN LIQUID..",109137,29892956,28396825
18063100,"Chocolate, Etc, Containing Cocoa, In Blocks, Slabs Or Bars, Filled, TV",48307,60539611,42309480
18069000,"OTHER CHOCOLATE & OTHER FOOD PREPARA. CONTAININGS COCOA, EXCL. FILLED/NOT FILLE, TV",4628,5652922,2730771
19011000,"Preparations suitable for infants or young children, put up for retail sale",84591,42326514,35101687
19012000,Mixes And Doughs For Preparation Of Bakers' Wares Of 19.05,197902,27067904,25826161
