hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
07039090,"Leeks And Other Alliaceous Vegetables, Nes, (excl. Wrapped/Canned upto 2.5 kg)",2264,433496,566873
07041010,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",100,12262,31275
07041090,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Nes",3177,739930,978914
07042090,"Brussels Sprouts, Fresh Or Chilled, Nes",254,56045,68959
07051190,"Cabbage Lettuce, Fresh Or Chilled, Nes",28678,3197372,6096131
07052990,"Chicory Excl. Witloof, Fresh Or Chilled, Nes",80,6874,20039
07061090,"Carrots And Turnips, Fresh Or Chilled, Nes",171,33888,42772
07069090,"Salad Betroot..Radishes & Similar Edible Roots,Fresh Or Chilled, Nes",399,88228,114190
07070090,"Cucumbers And Gherkins, Fresh Or Chilled, Nes",290,70209,72616
07082010,"Beans,Shelled Or Unshelled, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",90,14902,28155
07082090,"Beans, Shelled Or Unshelled Fresh Or Chilled, Nes",680,138049,206163
07092090,"Asparagus, Fresh Or Chilled, Nes",465,129639,145650
07094010,"Celery Other Than Celeriac, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",30,3679,9384
07094090,"Celery Other Than Celeric, Fresh Or Chilled, Nes",1223,332156,382853
07095190,"Mushrooms, Fresh Or Chilled, Nes",1290,370697,788394
07096019,"Sweet Peppers, Fresh Or Chilled, Nes",932,226275,255668
07096099,"Other Fruits Of Genus Capiscum Or Pimenta,Fresh Or Chilled,Nes,(excl. Wrd/Ca upto 2.5kg)",190332,4686709,14462450
07099390,"Pumpkins, squash and gourds (Cucurbita spp), EXCL. Wrapped/canned upto 2.5 Kg",1087,280673,339838
07099990,"Other Vegetables NES, EXCL. Wrapped/canned upto 2.5 Kg",105025,4635235,7408897
07104090,"Sweet Corn Uncooked Or Cooked By Steaming Or Boiling Frozen, Nes",73000,7946401,9248566
07122090,"Dried Onions Cut, Whole, Broken, Powder, Nes",125000,22697498,34825892
07123290,"WOOD EARS (AURICULARIA SPP), Nes",12,42712,52285
07123390,"JELLY FUNGI (TREMELLA SPP), Nes",24,46595,57038
07123490,Shiitake (Lentinus edodes),45,8793,16903
07123990,"MUSHROOMS,WOOD EARS(AURICULARIA SPP),JELLY FUNGI..& TRUF,NES,(Excl.WRAP/CANN upto 2.5kg)",3000,347855,675911
07129010,"Dried vegetable, whole ............., Sweet corn",124,44089,62099
07129092,Dihydrated chives,1200,603897,746733
07129092,Dihydrated chives imported by biscuits and bakery products manufacturing industry,4500,1767504,2800197
07129099,"Other Dried Vegetable, Whole, Cut Sliced... Not Further Nes,(Excl.Wrap/Can upto 2.5 kg)",121000,13020365,27127018
07131090,"Dried Peas Shelled, Nes",27364172,1138719033,1387805879
07132090,"Dried Chickpeas (Garbanzos) Shelled, Nes",3066860,225134494,372849537
07133110,"Dried Beans Of The Species,Vigna Mungo(L) Hepper/V.Radiata,Shelled,Wra/Can upto 2.5kg",60,89307,109322
07133190,"Dried Beans Of The Species, Vigna Mungo(L) Hepper/V.Radiata, Shelled, Nes",2059020,223062880,303130672
07133290,"Dried Small Red(Adzuki)Beans Shelled, Nes",60,20192,24715
07134090,"Dried Lentils, Shelled, Nes",82179040,5695891764,6125950027
07139090,"Dried Leguminous Vegetables, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",24851020,1003332531,1155865412
07142090,"Sweet Potatoes, Fresh Or Dried, Chilled Or Frozen, Nes",465,142689,145553
07143090,Yams (Dioscorea spp) excl. Wrapped/canned upto 2.5 Kg,250,21480,62631
07149099,"Roots&Tubers With High Starch Content, Fresh/Dri./Chilled/Frozen Nes,(Exc.W/C upto 2.5kg",260,22339,77650
08011190,"Desiccated Coconuts Fresh Or Dried,Nes",180500,27242512,27708076
08011290,Other coconuts in the inner shell (endocarp) EXCL. Wrapped/canned upto 2.5 Kg,82000,1703566,3091446
08011990,"Coconuts, Not Desiccated,Fresh Or Dried,Nes",144840,14222512,18135478
08013190,"Cashew Nuts, In Shell, Fresh Or Dried,Nes",27000,5368792,5558974
08013290,"Casweh Nuts, Shelled, Fresh Or Dried, Nes",379110,202588829,207886061
08021190,"Almonds In Shell, Fresh Or Dried, Nes",100,27004,50081
08021290,"Almonds Shelled, Resh Or Dried,Nes",202124,99110629,100779337
08025290,"Pistachios, Shelled, EXCL. Wrapped/canned upto 2.5 Kg",22000,21602821,21964499
08029919,Betelnuts,1338432,258923083,333171981
08041011,"Dates, Fresh,Wrapped/Canned Upto 2.5kg",108000,19700300,35112102
08041019,"Dates, Fresh, Nes",1048125,169789967,235924610
08041029,"Dates, Dried, Nes",163182,10492558,35584105
08044090,"Avocados Fresh Or Dried, Nes",4156,1322547,2099716
08045019,"Guavas Fresh Or Dried, Nes",50,16570,16903
08045029,"Mangosteens, Fresh Or Dried, Nes",736,142843,276488
08045039,"Mangoes Fresh Or Dried, Nes",2787,608625,1047040
08051090,"Oranges, Fresh Or Dried, Nes",14443996,1232665911,1259084874
08052190,Mandarins (including tangerines and satsumas),6961939,592876482,607108304
08054090,"GRAPEFRUIT, NES",185,59722,69367
08055090,"CITRUS FRUIT,FRESH OR DRIED, LEMONS ,NES",845,221255,273856
08061090,"Fresh Grapes, Nes",8468954,475911687,842187125
08062090,"Dried Grapes, Nes",256330,62094730,64053388
08071190,"Watermelons, Fresh, Nes",111,26257,34750
08071990,"Melons, Fresh, (Excl. Watermelons),Nes",446,130793,140555
08072090,"Papaws (Papayas), Fresh, Nes",601,177655,225796
08081090,"Apples, Fresh, Nes",16542559,1419148124,1441696194
08083090,"Pears, EXCL. Wrapped/canned upto 2.5 Kg",676908,58154335,58995380
08093090,"Peaches, Including Nectarines, Fresh,Nes",65,20727,24537
08094019,Plums EXCL.Wrapped/canned upto 2.5 kg,1672,207079,380345
08101010,"Strawberries, Fresh, Wrapped/Canne Upto 2.5kg",272,128863,148089
08102010,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh,Wrapped/Cann Upto 2.5kg",297,138475,186561
08102090,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh, Nes",45,21630,28541
08103010,"Black, white or red currants and gooseberries Wrapped/canned upto 2.5 Kg",5,2764,2819
08103090,"Other Black, white or red currants and gooseberries, EXCL. Wrapped/canned upto 2.5 Kg",7430,278155,296396
08105090,"Kiwifruit, Fresh, NES",1265,426918,633982
08106090,"DURIANS , NES",289,79851,108486
08107090,"Other persimmons, EXCL. Wrapped/canned upto 2.5 Kg",2020,245487,413194
08109090,"Other Fruit, Fresh, Nes,(Excl. Wrapped/Canned Upto 2.5kg)",3060624,131900903,306736333
08131090,"Dried Apricots, NES",24100,6505554,6896413
08132090,"Dried Prunes,NES",102693,21587846,29663982
08133090,"Dried Apples, NES",2160,4256540,4344675
08134010,"Other Dried Fruit, Nes, Wrapped/Canned Upto 2.5KG",14400,3639773,5351527
08134090,"Other Dried Fruit, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",2451224,155720308,245859638
09011190,"Coffee, Not Roasted Or Decaffeinated",45670,30696063,37580006
09012110,"Roasted coffee, not decaffeinated,wrapp/cann upto 2.5kg",50,25275,34423
09012190,"Roasted coffee, not decaffeinated,Excl wrapped canned",3000,1084945,1679397
09012210,"Roasted, decaffeinated coffee Wrapped/canned upto 2.5 kg",2,2455,2455
09021000,"Green Tea,Whether Or Not Flavoured, In Immediate Packings <=3 Kg",63,30312,75909
09022000,"Green Tea,Whether Or Not Flavoured, Nes",24000,5096302,18030780
09023000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of <=3kg",254,63561,96011
09024000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of >3kg",54,25034,25485
09041190,"Pepper, Neither Crushed Nor Ground, Nes",511719,209544977,214541692
09041200,"Pepper, Crushed Or Ground",3263,780593,1042117
09042110,"Fruits of the genus Capsicum ...,: Dried or neither crushed or ground, Wrapped/canned up",806,55169,70347
09042190,"Fruits of the genus Capsicum...,: Dried or neither crushed or ground, EXCL.Wrapped/canne",8937353,2362987248,2461217374
09042210,"Fruits of the genus Capsicum ...,: crushed or ground, Wrapped/canned upto 2.5 Kg",1770,588955,718874
09061190,"Neither crushed nor ground:Cinnamon (Cinnamo. Zeylan. Blume), Excl. Wr./Can.up",1841580,382199157,393541035
09062000,"Cinnamon And Cinnamon-Tree Flowers, Crushed Or Ground",50000,13762593,14313832
09071090,"Cloves (whole fruit, cloves and stems), Neither Crushed or ground, EXCL. Wrapped/canned",275610,135308897,137319217
09081190,"Nutmeg :Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",118300,43431288,44253378
09082190,"Mace : Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",26790,26304709,26676097
09082290,"Mace : Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",300,1251982,1277063
09083190,Cardamoms :Neither Crushed or ground. EXCL. Wrapped/canned upto 2.5 Kg,495947,945457665,1098287750
09092190,Seeds of coriander : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,480000,97076374,116576837
09093110,Seeds of Cumin : Neither crushed or ground Wrapped/canned upto 2.5 Kg,10,6396,6396
09093190,Seeds of Cumin : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,2544380,721341610,1050293649
09096190,"Seeds of anise, badian, caraway...; juniper berries : Neither crushed or ground EXCL. Wr",1291820,189544028,256160443
09101190,Ginger : Neither Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,14138788,1003521770,1632623038
09101290,Ginger : Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,10400,2701212,4158916
09103090,"Turmeric(Curcuma), Nes",2345000,384064857,391056073
09109110,MIXTURES REFFERED TO IN NOTE 1(B) TO THIS CHAP WRAP/CAN UPTO 2.5 KG,2202,363627,551445
09109910,"Other Spices, Nes, Wrapped/Canned upto 2.5 kg",3183,549697,707218
09109990,"Other Spices, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",328570,28527039,29858642
10011990,"Durum wheat, Other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",636226978,21421391684,22291274577
10019990,"Other Seed, NES, EXCL, Wrapped/canned upto 2.5 Kg",33598410,1258389271,1284886957
10039090,Barley other than Seed EXCL. Wrapped/canned upto 2.5 Kg,166020,6113353,8938638
10051010,"Maize Seed, wrapped/canned upto 2.5 kg",77555,34774282,45045488
10051090,"Maize Seed, Excl. wrapped/canned upto 2.5 kg",4520,2645732,2698912
10059090,"Other Maize, Excluding wrapped/canned upto 2.5 kg",60578988,1723611964,2928295961
10061010,Rice in the husk (paddy or rough) wrapped/canned upto 2.5 kg,170020,58678048,59695502
10061090,Rice in the husk (paddy or rough) Excl. wrapped/canned upto 2.5 kg,80029,28474501,30055800
10062000,Husked (Brown) Rice,14,5155,5244
10063019,Semi-Milled Or Wholly Milled Rice,50,6137,25045
10063099,Semi-Milled Or Wholly Milled Rice,62873186,2813387378,3534576049
10071090,"Grain sorghum Seed, EXCL. Wrapped/canned upto 2.5 Kg",782540,27006498,41771917
10081090,"Buckwheat, Nes",5000,319133,538390
10082910,"Millet other than Seed, Wrapped/canned upto 2.5 Kg",500,30686,50083
11010010,"Wheat Or Meslin Flour, wrapped/canned upto 2.5 kg",1515,72717,96079
11029000,"Other Flour Than Of Rye,Maize & Rice Flour",1072,106126,231928
11031300,Groats And Meal Of Maize (Corn),30450,1514652,2467144
11041210,Rolled or flaked grains of oats (Wrapped/canned upto 2.5 kg.),10,6137,6262
11063000,"Flour, Meal And Powder Of Products Of Chapter 8",24633,11589559,15370239
11081200,Maize (Corn) Starch,860243,43789122,55160389
11081300,Potato Starch,20,7365,7513
11081400,Manioc (Cassava) Starch,302341,20153720,26063790
11082000,Inulin,700,884667,902449
11090000,"Wheat Gluten, Wheather Or Not Dried",2030,130108,256829
12019090,"Soya beans, whether or not broken other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",253769895,14299210080,15382363636
12024190,"Ground-nuts, not roasted or otherwise cooked, whether in Shell, EXCL. Wrapped/canned up",3351640,327435071,335564696
12024290,"Other Ground-nuts, Shelled whether or not broken EXCL. Wrapped/canned upto 2.5 Kg",2944355,284436904,294844764
12030000,Copra,5279576,919916349,950103033
12040090,"Linseed Whether Or Not Broken, Nes",285000,24015034,24870303
12051090,"LOW ERUCIC ACID RAPE OR COLZA SEEDS, Nes",41145420,2714668799,2763631192
12074090,"Sesamum Seeds, Nes",195000,35582055,61054107
12075090,"Mustared Seeds, Nes",2752340,225943003,229229940
12077010,Melon seeds Wrapped/canned upto 2.5 Kg,66,1821606,1858220
12077090,"Other Melon seeds, EXCL. Wrapped/canned upto 2.5 Kg",1352,11559831,11866477
12079990,"Other Oil Seeds And Oleaginous Fruits, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",305096,56130490,63292196
12093000,Seeds Of Herbaceous Plants Cultivated Principally For Their Flowers,260,19264684,25366336
12099100,Vegetable Seeds Of A Kind Used For Sowing,126327,180948213,205601255
12099990,Other than Tobacco Seeds,1212356,114756749,319036379
12112090,"Ginseng Roots,Of Fresh Or Dried, Nes",2,3682,7512
12119011,"Plants Or Parts, Used In Perfume...,Nes, Wrapped/Canned upto 2.5 kg",3,13978,17111
12119029,"Plants Or Parts, Used In Pharmacy, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",443207,49467376,58938054
12119091,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",36036,1609458,5840418
12119099,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",3544619,182382016,189705869
12122111,Seaweeds and other algae: Fit for human consumption Wrapped/canned upto 2.5 Kg,460,103391,128813
12122119,Seaweeds and other algae: Fit for human consumption EXCL. Wrapped/canned upto 2.5 Kg,505,1229888,1254608
12122911,Seaweeds and other algae: Other than Fit for human consumption Wrapped/canned upto 2.5,60,14729,15025
12122919,Seaweeds and other algae: Other than Fit for human consumption EXCL. Wrapped/canned upto,122000,10110904,11705090
12129990,"Vegetable Products Used Primarily For Human..,Fresh/Drd Nes,(Excl. Wrap/Can upto 2.5 kg)",850,17201986,17547748
12130090,"Cereal Straw And Husks, Nes",3000,319918,323117
13019000,"Natural gums, resins, gum-resins,natural oleoresesins and balsams (excl. gum arabic)",630907,117261854,135976395
13021900,"Other Vegetable Saps And Extracts,Nes(Exl.Opium,Liquorice,Hops,Pyrethrum).",17687,78943030,80650303
13022000,"Pectic Substances, Pectinates And Pectates",54000,39006593,46837912
13023100,Agar-Agar,10340,5057269,6597786
13023200,"Mucilages And Thickeners Of Locust Beans, Bean Seeds And Guar Seeds",25000,8779640,10278842
13023900,"Mucilages&Thickeners,Derived From Veg.Prod.(Ex.Locastbeans/Seeds,Guarseeds",10328,2890697,3051388
14012000,Rattans,28510,874853,887251
14049099,"Vegetable Products, Nes (Excl. Wrapped/Canned upto 2.5 kg)",102789,16261992,19422849
15041000,Fish-Liver Oils And Their Fractions,16490,30541937,31179912
15042000,"Fish Fats, Oils And Fractions (Excl. Fish Liver Oils)",677796,120935241,169766782
15043000,"Marine Mammal Fats, Oils And Their Fractions",90,55234,56344
15050000,Wool grease and fatty substances derived therefrom(including lanolin).,1200,5329514,5436640
15079010,Refined Soya-Bean Oil,6021,5838167,5991517
15079090,Other Soya-Bean Oil,5100,4189768,4273982
15089000,"Ground-Nut Oil (Excl. Crude) And Fractions,Not Che.Modified",13600,7095480,7238099
15092010,Extra virgin olive oil,13108,10196904,10541837
15092090,Extra virgin olive oil,86420,53760208,54604566
15093010,Virgin olive oil,35,7365,20032
15099010,Olive oil and fractions (excl. virgin) wrapped/canned upto 2.5kg,115,27249,69266
15099090,Olive oil and fractions (excl. virgin) Excl. wrapped/canned upto 2.5kg,42061,30456071,30993855
15109000,"Crude olive pomace oil, OTHERS",59,16939,24667
15111000,Crude oil,18,33101,33230
15119019,Solidified Or Hardened By Mechanical Treatment(Excl. Rbd Palm Stearin),3,1841,1878
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,26657980,3912103619,3998574286
15121900,Sunflower-Seed And Safflower Oil (Excl. Crude) And Fractions Thereof,702141,146177174,150502313
15122900,"Refined Cotton-Seed Oil & Its Fractns, Not Chemically Modifd",9,172233,175696
15131100,Crude Coconut (Copra) Oil,675,355517,441045
15131900,"Coconut (copra) oil (excl. crude) & its fractions, refined or not but not chem. modified",133783,32633728,35397069
15132100,Crude Palm Kernel Or Babassu Oil,408680,75597500,76670704
15132900,"Refined Palm Kernel/Babassu Oil & Fractions,Not Chem.Modifd",442910,92426495,95090236
15149900,"RAPE,COLZA OR MUSTARD OIL&FRAC.THEREOF,WHET.OR NOT REF.BUT NOT CHE.MOD.NES",2577,252966,583891
15151100,Crude Linseed Oil,350,17707926,18063857
15151900,"Refined Inseed Oil & Fractions,Not Chemically Modified",3145,1339129,1370668
15153000,Castor Oil And Its Fractions,14508,6590124,6709182
15155000,Sesame Oil And Fractions,16046,4202542,5495940
15159000,"Oth.Fixed Veg.Oil,Fats & Frac.,Nes(Ex.Maize/Castor/Tung/Sesamre/Jojobaoil)",12340,12568190,12771302
15161000,"Animal Fats And Oils And Fractions, Hydrogenated, Etc",26620,3662660,4093134
15162000,"Vegetable fats and oils and their fractions, hydrogenated, etc",1755110,342449761,355345786
15163000,Microbial fats and oils and their fractions,380,825988,901317
15171010,"Margarine, excluding liquid margarine in 10kg or above packing",585677,96912825,101460649
15171090,"Margarine, excl liquid margarine other than 10kg or above packing",12570,1733933,1881668
15179000,"Edible Preparations Of Animal/Veg.Fats And Oils,Nes Incld.Liquid Margarine",164640,33032069,33957461
15180000,"Animal Or Vegetable Fats And Oils... Chemically Modified, Nes",3235818,467522955,478070050
15211000,Vegetable waxes (excl. triglycerides),3550,6747824,6869663
15219000,"Beeswax, other insect waxes and spermaceti",500,61372,81387
16010000,"Sausages &Similar Prod.;Of Meat,Meat Offal,Blood,Prep.Based On These Prod.",46802,7999720,8145049
16023200,"Prepared/Preserved Meat,Offal/Blood Of Fowls Of Species Gallus Domesticus",80284,11822329,11994823
16041400,"Prep./Preserved Tuna,Skipjack & Bonito Ex.Minced Whole/Inpieces",9494,3145385,4157158
16041900,"Prepared Or Preserved Fish (Not Minced), Nes, Whole/Inpieces",6,1227,3005
16042000,"Other Prepared Or Preserved Fish, Including Minced, Nes",308,105410,107528
16043200,Caviar substitutes,105,12373,105182
16051000,"Crab, Prepared Or Preserved",8,7856,8014
17011400,Other cane sugar,12485024,600489381,607023125
17019900,"Cane Or Beet Sugar, In Solid Form, Nes Including Chemically Kue Sucoose",29136479,1769891660,2211882644
17021100,Lactose And Lactose Syrup Cont.By Weight>=99% Lactose Calc. On Dry Matter,349405,128320646,133292968
17022000,Maple Sugar And Maple Syrup,432,46714,56564
17023010,"Dextrose, Anhydrous/Monohydrate Bp/Vsp Pyrogen Free",1271000,93967555,105459309
17023020,"Glucose & Glucose Syrup,Containing <20% Fructose,Liquid Glucose",600,73620,74787
17023090,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO",193001,15405001,19215088
17024000,"Glucose And Glucose Syrup, Containing >=20% But <50% Fructose",64,7856,32056
17025000,Chemically Pure Fructose,200,618408,630839
17026000,"Other Fructose And Fructose Syrup, Containing >50% Fructose",18176,3068930,4666985
17029000,"Artificial honey, caramel and other sugars (incl. invert sugar), nes",1071501,38649674,61602279
17031000,Cane Molasses Resulting From The Extraction Or Refining Of Sugar,4502371,96808396,139165896
17039000,Oth.Molasses Resulting From The Extraction/Refining Of Sugar (Ex.Cane),3000,2209379,2253788
17041010,"Chewing Gum Not Containing Cocoa, TV",8902,2120759,3340594
17049010,"Sugar confe (incl. white chocolate), not cont cocoa,nes Put up for retail sale",83855,28171027,31547900
17049090,"Sugar confei (incl. whit chocole), not cont cocoa, nes excl. Put up for retail sale",50548,15833581,18986924
18010000,"Cocoa Beans, Whole Or Broken, Raw Or Roasted",35,4296,17528
18031000,"Cocoa Paste, Not Defatted",3400,1431682,1486852
18032000,"Cocoa Paste, Wholly Or Partly Defatted",2000,810106,819843
18040000,"Cocoa Butter, Fat And Oil",4508,6187793,6314171
18050000,"Cocoa Powder, Not Containing Added Sugar Or Other Sweetening Matter",420007,109536699,112558574
18061000,"Cocoa Powder, Containing Added Sugar Or Other Sweetening Matter",846,100983,211743
18062000,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG, OR IN LIQUID..",373239,93541934,99535442
18063100,"Chocolate, Etc, Containing Cocoa, In Blocks, Slabs Or Bars, Filled, TV",29123,22440649,36410001
18063200,"Chocolate, Etc, Containing Cocoa In Blocks, Slabs Or Bars, Not Filled, TV",6717,2397915,8349759
