hscode,description,net_wt_kg,assess_value_bdt,invoice_value_bdt
03038990,"Other fish, excluding livers and roes :",1812342,271774400,190048791
03046290,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), EXCL. Wrapped/canned u",74916,13986046,13207453
03048690,"Herrings (Clupea harengus, Clupea pallasii), EXCL. Wrapped/canned upto 2.5 Kg",73,73102,8590
03055190,"DRIED FISH COD(GADUS MORHUA,GADUS OGAC,GADUS MACROCEPHALUS),NES",70,21476,8589
03055290,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ict",3715,1155876,892029
03055990,"OTHER DRIED FISH(EXCL.COD),NES",1164296,299983494,147950598
03063610,Other shrimps and prawns,11,2710045,2529487
03063690,Other shrimps and prawns,31,6734353,4532783
03074310,"Cuttle fish and squid , Frozen, Wrapped/canned upto 2.5 kg",5000,1095232,1006140
03074390,"Cuttle fish and squid , Frozen, Excl. Wrapped/canned upto 2.5 kg",15000,3265815,3220875
04011010,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Wrapped/Canned upto 2.5 kg",11904,1113556,876372
04011090,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Nes",11913,7177597,4604884
04012010,"Milk & Cream Of>1%But<=6%Fat,Not Concentrated Or Sweetened,Wrap./Cann. upto 2.5 kg",6640,826193,651782
04015010,"Milk & cream ..added sugar or ..Of a fat content, by weight, >10%, Wrapped./Canned upto",600,122762,110463
04021010,"Milk&Cream In Powder Forms<=1.5%Fat,Con... Or Sweet.,In Reta.Pk.Upto 2.5kg",6048,3218253,1716550
04021090,Other,2387475,745939517,725190482
04022190,Other,5078675,2405711105,2368923906
04022910,Milk&Cream In Powder Forms >1.5% Fat Sweet Or Conc. In Ret.Pk.=<2.5kg,5055,2672836,2325932
04029900,Sweetened Milk And Cream (Excl. In Solid Form),379,100057,45275
04039000,"BUTTERMILK, CURDED MILK AND CREAM.., EXCL. YOGURT",8167,1500503,1276322
04041000,Whey imported by food processing industry,150000,18661584,18220950
04041000,Whey whether or not concentrated or containing added sugar or other sweetening matter,25000,3108403,2809830
04049000,"Products Consisting Of Natural Milk Constituents, Nes",400000,53497615,51879260
04059000,Fats And Oils Derived From Milk (Excl. Butter And Dairy Spreads),16800,14712959,14483734
04062000,Grated Or Powdered Cheese,22736,14014542,12663679
04063000,"Processed Cheese, Not Grated Or Powdered",6648,3068981,2611051
04069000,"Cheese, Nes",37254,18425934,15524177
04071900,Birds Fertilised eggs for incubation EXCL. Of fowls of the species Gallus domesticu,150,1086469,1065061
04090010,"Naturel honey, wrapped/canned upto 2.5 kg",27981,18748005,13841762
04090090,"Naturel honey, Exclu. wrapped/canned upto 2.5 kg",124420,46661329,22240272
05010000,"Human Hair And Waste, Unworked",72625,110568182,21819901
05029000,Badger And Other Brush Making Hair & Waste There Of,43,98476,97888
05051000,Raw Feathers For Stuffing; Down,5,3130,3068
05080000,"Coral; Shells Of Molluscs, Crustaceans, Unworked",144320,3026779,1116263
05111000,Bovine Semen,29,9847885,2945321
05119100,"Products Of Fish, Crus.,Mollus.,Other Aquatic, Invet Dead Anim.Of Chapt. 3",788680,59954765,41393098
05119990,"Animal Products, Nes; ...,Unfit For Human Co. Excl. Wrapped/canned upto 2.5 kg",1013,4617492,4416523
06012000,"Bulbs, Tubers... Rhizomes In Growth Or Flower; Chicory Plants And Roots",29,362130,354995
06023000,"Rhododendrons And Azaleas, Grafted Or Not",57181,2361513,1929151
06024000,"Roses, Grafted Or Not",31664,1387468,1102766
06029090,"Other Live Plants,Cutting And Slips, Mushroom Spawn",49355,2766040,2051544
06031100,Roses,1541,963093,437975
06031200,Carnations,438,273831,114202
06031300,Orchids,177,111009,50273
06031400,Chrysanthemums,370,231450,89491
06031500,Lilies (Lilium spp),1424,890535,430171
06031900,Cut flowers & flower buds of a kind suitable for bouquets or for ornamental pur,1492,932511,383331
06042000,"Foliage, branches and other parts of plants, without flowers .or otherwise prepared, Fr",295,184831,108074
07020019,"Tomatoes, Fresh, Nes",343,88417,65497
07031019,"Onions, Fresh Or Chilled, Nes",441181,27060926,17773654
07032090,"Garlic, Fresh Or Chilled, Nes",5341994,637300744,624577188
07039090,"Leeks And Other Alliaceous Vegetables, Nes, (excl. Wrapped/Canned upto 2.5 kg)",2045,511998,330414
07041090,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Nes",1132,349271,190627
07042090,"Brussels Sprouts, Fresh Or Chilled, Nes",97,30706,26789
07051110,"Cabbage Lettuce, Fresh Or Chilled, Wrapped/Canned upto 2.5 kg",246,61583,42356
07051190,"Cabbage Lettuce, Fresh Or Chilled, Nes",8800,2186126,1485848
07061090,"Carrots And Turnips, Fresh Or Chilled, Nes",73,18276,16196
07069090,"Salad Betroot..Radishes & Similar Edible Roots,Fresh Or Chilled, Nes",1312,333515,207794
07070090,"Cucumbers And Gherkins, Fresh Or Chilled, Nes",1194,298947,193682
07082090,"Beans, Shelled Or Unshelled Fresh Or Chilled, Nes",503,157436,77772
07092090,"Asparagus, Fresh Or Chilled, Nes",188,59149,43857
07094090,"Celery Other Than Celeric, Fresh Or Chilled, Nes",155,48508,42209
07095190,"Mushrooms, Fresh Or Chilled, Nes",150,94165,60022
07096019,"Sweet Peppers, Fresh Or Chilled, Nes",145,36666,32383
07096099,"Other Fruits Of Genus Capiscum Or Pimenta,Fresh Or Chilled,Nes,(excl. Wrd/Ca upto 2.5kg)",60873,4570143,1493793
07099390,"Pumpkins, squash and gourds (Cucurbita spp), EXCL. Wrapped/canned upto 2.5 Kg",113,35996,34184
07099990,"Other Vegetables NES, EXCL. Wrapped/canned upto 2.5 Kg",490217,30918971,16254516
07122090,"Dried Onions Cut, Whole, Broken, Powder, Nes",91000,24925412,17495793
07123490,Shiitake (Lentinus edodes),1380,174596,118528
07129010,"Dried vegetable, whole ............., Sweet corn",10,5006,1718
07129091,"Other Dried Vegetables Whole,Cut Sliced.. Not Further Nes,Wrapped/Canned upto 2.5 kg",138,25823,17721
07129092,Dihydrated chives imported by biscuits and bakery products manufacturing industry,4500,2794157,2125778
07129099,"Other Dried Vegetable, Whole, Cut Sliced... Not Further Nes,(Excl.Wrap/Can upto 2.5 kg)",134030,31601936,14406821
07131090,"Dried Peas Shelled, Nes",31963358,1495789958,1167233623
07132090,"Dried Chickpeas (Garbanzos) Shelled, Nes",20373185,1809249627,1337431453
07133110,"Dried Beans Of The Species,Vigna Mungo(L) Hepper/V.Radiata,Shelled,Wra/Can upto 2.5kg",585,43498,11757
07133190,"Dried Beans Of The Species, Vigna Mungo(L) Hepper/V.Radiata, Shelled, Nes",350630,53827339,40970064
07133990,"Dried Other Beans, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",84960,9572291,8172998
07134010,"Dried Lentils, Shelled, Wrapped/Canned upto 2.5 kg",600,59484,10077
07134090,"Dried Lentils, Shelled, Nes",68468940,5588229564,4296539006
07139090,"Dried Leguminous Vegetables, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",2550080,349040835,155503061
08011190,"Desiccated Coconuts Fresh Or Dried,Nes",176500,18464559,17733831
08011290,Other coconuts in the inner shell (endocarp) EXCL. Wrapped/canned upto 2.5 Kg,4676320,176071384,154225015
08013290,"Casweh Nuts, Shelled, Fresh Or Dried, Nes",186000,95685153,92556372
08021190,"Almonds In Shell, Fresh Or Dried, Nes",37,18531,10123
08021290,"Almonds Shelled, Resh Or Dried,Nes",294953,146765241,144769087
08023290,"Walnuts Shelled Fresh Or Dried, Nes",46000,22932430,13749966
08025290,"Pistachios, Shelled, EXCL. Wrapped/canned upto 2.5 Kg",22830,22723128,22409928
08029912,Semi-Processed Betelnuts packed in 60-80kg Bag,10010,2490304,2075839
08029919,Betelnuts,124240,30950460,26658416
08041011,"Dates, Fresh,Wrapped/Canned Upto 2.5kg",457450,135346177,73386776
08041019,"Dates, Fresh, Nes",25716092,4667281878,2886815760
08041021,"Dates, Dried, Wrapped/Canned Upto 2.5kg",963,306276,171142
08041029,"Dates, Dried, Nes",151555,36685869,10647704
08042029,"Figs, Dried, Nes",12000,2985876,2944800
08044090,"Avocados Fresh Or Dried, Nes",1910,943864,820163
08045029,"Mangosteens, Fresh Or Dried, Nes",151,56705,40943
08045039,"Mangoes Fresh Or Dried, Nes",441,165516,116528
08051090,"Oranges, Fresh Or Dried, Nes",16420887,1440354124,1240746922
08052190,Mandarins (including tangerines and satsumas),11558638,1007018156,956722516
08054090,"GRAPEFRUIT, NES",20,8149,7989
08055090,"CITRUS FRUIT,FRESH OR DRIED, LEMONS ,NES",89,27853,22577
08059019,"Citrus Fruit, Fresh Nes, Nes",3260124,281799051,133338243
08061090,"Fresh Grapes, Nes",12076396,1202451228,653036322
08062090,"Dried Grapes, Nes",1340460,333698979,318650884
08071990,"Melons, Fresh, (Excl. Watermelons),Nes",125,39229,33429
08072090,"Papaws (Papayas), Fresh, Nes",102,38309,34355
08081090,"Apples, Fresh, Nes",21298794,1855677151,1779663551
08083090,"Pears, EXCL. Wrapped/canned upto 2.5 Kg",745650,64975742,64046595
08091090,"Apricots, Fresh, NES",2100,220087,147284
08092190,"Sour cherries (Prunus cerasus), EXCL. Wrapped/canned upto 2.5 Kg",55,41310,32485
08093090,"Peaches, Including Nectarines, Fresh,Nes",102,38557,33760
08094019,Plums EXCL.Wrapped/canned upto 2.5 kg,3563,1045030,494027
08101010,"Strawberries, Fresh, Wrapped/Canne Upto 2.5kg",52,29583,26239
08102010,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh,Wrapped/Cann Upto 2.5kg",110,69714,58429
08102090,"Raspberries,Blackberries,Mulberries & Loganberries,Fresh, Nes",15,10073,9875
08105090,"Kiwifruit, Fresh, NES",2585,599258,310584
08106090,"DURIANS , NES",149,56085,38962
08107090,"Other persimmons, EXCL. Wrapped/canned upto 2.5 Kg",11572,3306188,1274671
08109090,"Other Fruit, Fresh, Nes,(Excl. Wrapped/Canned Upto 2.5kg)",3900289,386708861,184242724
08132090,"Dried Prunes,NES",305710,88138656,78808272
08134010,"Other Dried Fruit, Nes, Wrapped/Canned Upto 2.5KG",14220,5323755,5234382
08134090,"Other Dried Fruit, Nes, (Excl. Wrapped/Canned Upto 2.5KG)",466615,46887163,25201756
09011190,"Coffee, Not Roasted Or Decaffeinated",25270,26319901,25816923
09011210,"Decaffeinated coffee, not roasted,wrapped/cann upto 2.5 KG",546,307533,200983
09012190,"Roasted coffee, not decaffeinated,Excl wrapped canned",2000,1127333,1105056
09012210,"Roasted, decaffeinated coffee Wrapped/canned upto 2.5 kg",2078,1429843,1225771
09021000,"Green Tea,Whether Or Not Flavoured, In Immediate Packings <=3 Kg",588,725338,228369
09022000,"Green Tea,Whether Or Not Flavoured, Nes",3,3653,3627
09024000,"Black Tea Fermented/Partly Fermented,Flavoured Or Not,In Packings Of >3kg",702,264789,173667
09041190,"Pepper, Neither Crushed Nor Ground, Nes",207575,100465001,96492357
09042190,"Fruits of the genus Capsicum...,: Dried or neither crushed or ground, EXCL.Wrapped/canne",5986220,1643282479,1477949721
09061190,"Neither crushed nor ground:Cinnamon (Cinnamo. Zeylan. Blume), Excl. Wr./Can.up",1067961,229210590,223338948
09062000,"Cinnamon And Cinnamon-Tree Flowers, Crushed Or Ground",25000,7154982,6901875
09071090,"Cloves (whole fruit, cloves and stems), Neither Crushed or ground, EXCL. Wrapped/canned",234500,116794301,115099030
09081190,"Nutmeg :Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",32725,12299695,11772758
09082190,"Mace : Neither Crushed or ground, EXCL. Wrapped/canned upto 2.5 Kg",11040,10995797,10836864
09083190,Cardamoms :Neither Crushed or ground. EXCL. Wrapped/canned upto 2.5 Kg,542403,1174232784,1021522937
09092190,Seeds of coriander : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,20000,4797826,4409610
09093110,Seeds of Cumin : Neither crushed or ground Wrapped/canned upto 2.5 Kg,4,2952,2952
09093190,Seeds of Cumin : Neither crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,2371563,998539877,726819681
09096190,"Seeds of anise, badian, caraway...; juniper berries : Neither crushed or ground EXCL. Wr",605700,184398915,88059142
09101190,Ginger : Neither Crushed or ground EXCL. Wrapped/canned upto 2.5 Kg,18490874,2126890727,1236389329
09101210,Ginger : Crushed or ground Wrapped/canned upto 2.5 Kg,30,10814,2120
09103090,"Turmeric(Curcuma), Nes",1575170,258620328,252766731
09109110,MIXTURES REFFERED TO IN NOTE 1(B) TO THIS CHAP WRAP/CAN UPTO 2.5 KG,8515,2131781,1398105
09109910,"Other Spices, Nes, Wrapped/Canned upto 2.5 kg",1339,202285,122504
09109990,"Other Spices, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",302037,27764237,26629107
10011990,"Durum wheat, Other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",787312842,26972695923,26078792262
10019990,"Other Seed, NES, EXCL, Wrapped/canned upto 2.5 Kg",99185090,3541918389,3432222468
10039090,Barley other than Seed EXCL. Wrapped/canned upto 2.5 Kg,118900,6418629,4931092
10051010,"Maize Seed, wrapped/canned upto 2.5 kg",21217,11200040,6433501
10051090,"Maize Seed, Excl. wrapped/canned upto 2.5 kg",70000,35614939,27607572
10059090,"Other Maize, Excluding wrapped/canned upto 2.5 kg",199768285,9187711108,5899146808
10063011,Semi-Milled Or Wholly Milled Rice,7000,1353272,470280
10063019,Semi-Milled Or Wholly Milled Rice,13,7512,6135
10063091,Semi-Milled Or Wholly Milled Rice,19113,3734368,2348069
10063099,Semi-Milled Or Wholly Milled Rice,149431881,8227794767,7159470701
10071090,"Grain sorghum Seed, EXCL. Wrapped/canned upto 2.5 Kg",923145,49841500,31334150
10081010,"Buckwheat, Wrapped/Canned upto 2.5 kg",5012,690105,613558
10082910,"Millet other than Seed, Wrapped/canned upto 2.5 Kg",97,9744,6687
10085010,Quinoa (Chenopodium quinoa) Wrapped/canned upto 2.5 Kg,6020,1205633,1069380
11010010,"Wheat Or Meslin Flour, wrapped/canned upto 2.5 kg",125,15561,14122
11010090,"Wheat Or Meslin Flour, Excl. wrapped/canned upto 2.5 kg",6375,700994,686546
11022000,Maize (Corn) Flour,1920,274920,263933
11029000,"Other Flour Than Of Rye,Maize & Rice Flour",5291,718173,608383
11063000,"Flour, Meal And Powder Of Products Of Chapter 8",140,215926,205538
11081100,Wheat Starch,7610,2769288,2347254
11081200,Maize (Corn) Starch,1243512,85873414,69016984
11081300,Potato Starch,146000,20080509,18907167
11081400,Manioc (Cassava) Starch,361010,29812419,20237574
12019010,"Soya beans, whether or not broken other than Seed, Wrapped/canned upto 2.5 Kg",5,3382,3313
12019090,"Soya beans, whether or not broken other than Seed, EXCL. Wrapped/canned upto 2.5 Kg",64634431,3757035228,3715117023
12024190,"Ground-nuts, not roasted or otherwise cooked, whether in Shell, EXCL. Wrapped/canned up",468250,46882387,44765586
12024290,"Other Ground-nuts, Shelled whether or not broken EXCL. Wrapped/canned upto 2.5 Kg",1958240,226776669,193849714
12030000,Copra,3100651,579534700,561803852
12051090,"LOW ERUCIC ACID RAPE OR COLZA SEEDS, Nes",16200000,1035395361,1023686100
12074090,"Sesamum Seeds, Nes",210000,65714642,39001813
12075090,"Mustared Seeds, Nes",3593780,286838019,281254295
12077010,Melon seeds Wrapped/canned upto 2.5 Kg,50,105754,104295
12077090,"Other Melon seeds, EXCL. Wrapped/canned upto 2.5 Kg",10549,2427220,1589618
12079910,"Other Oil Seeds And Oleaginous Fruits, Nes, Wrapped/Canned upto 2.5 kg",30,30046,3682
12079990,"Other Oil Seeds And Oleaginous Fruits, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",216140,45654987,39767163
12081000,Soya Bean Flours And Meals,26000,2816313,2296944
12093000,Seeds Of Herbaceous Plants Cultivated Principally For Their Flowers,129,725055,693599
12099100,Vegetable Seeds Of A Kind Used For Sowing,45735,187616336,173193543
12099910,Tobacco Seeds,58,21178517,20751609
12099990,Other than Tobacco Seeds,6,3005,736
12119029,"Plants Or Parts, Used In Pharmacy, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",1975365,387156282,371637588
12119091,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",49287,7975234,3607443
12119099,"Plants Or Parts, Used In Insecticide..., Similar Purpose,Nes, Wrap./Cann upto 2.5 kg",1347253,65285318,61887434
12122111,Seaweeds and other algae: Fit for human consumption Wrapped/canned upto 2.5 Kg,100,12520,9573
12122119,Seaweeds and other algae: Fit for human consumption EXCL. Wrapped/canned upto 2.5 Kg,700,595792,584052
12122919,Seaweeds and other algae: Other than Fit for human consumption EXCL. Wrapped/canned upto,72000,6128320,5344812
12129290,"Other Locust beans (carob), EXCL. Wrapped/canned upto 2.5 Kg",16,6923,827
12130090,"Cereal Straw And Husks, Nes",5,24782,24295
13012000,Gum Arabic,16000,4596991,3958302
13019000,"Natural gums, resins, gum-resins,natural oleoresesins and balsams (excl. gum arabic)",419720,98851890,84554195
13021900,"Other Vegetable Saps And Extracts,Nes(Exl.Opium,Liquorice,Hops,Pyrethrum).",5789,27822830,27170635
13022000,"Pectic Substances, Pectinates And Pectates",57425,43449407,34827782
13023100,Agar-Agar,320,199559,19632
13023200,"Mucilages And Thickeners Of Locust Beans, Bean Seeds And Guar Seeds",3300,2663162,2610688
13023900,"Mucilages&Thickeners,Derived From Veg.Prod.(Ex.Locastbeans/Seeds,Guarseeds",1132,1888897,1693145
14011000,Bamboos,129350,8061685,7261681
14012000,Rattans,28380,882911,870557
14049091,"Vegetable Products, Nes Wraped/Canned upto 2.5 kg",525,111715,63252
14049099,"Vegetable Products, Nes (Excl. Wrapped/Canned upto 2.5 kg)",66483,64845271,61088129
15041000,Fish-Liver Oils And Their Fractions,5715,11606316,11370675
15042000,"Fish Fats, Oils And Fractions (Excl. Fish Liver Oils)",1287824,307434162,208095438
15050000,Wool grease and fatty substances derived therefrom(including lanolin).,450,885047,867609
15071000,"CRUDE OIL, WHETHER OR NOT DEGUMMED",9000000,1315441301,1297092375
15079010,Refined Soya-Bean Oil,400,2195142,2151890
15089000,"Ground-Nut Oil (Excl. Crude) And Fractions,Not Che.Modified",4000,2252993,2208600
15092010,Extra virgin olive oil,9369,6576648,6483182
15092090,Extra virgin olive oil,22010,10491346,7674640
15093010,Virgin olive oil,45,27534,4908
15099010,Olive oil and fractions (excl. virgin) wrapped/canned upto 2.5kg,196,112421,34313
15109000,"Crude olive pomace oil, OTHERS",132,62306,45827
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,73237084,9584781248,9447121524
15121100,Crude Sunflower-Seed Oil And Safflower Oil,3,3612,3558
15121900,Sunflower-Seed And Safflower Oil (Excl. Crude) And Fractions Thereof,463450,102738039,96039164
15122900,"Refined Cotton-Seed Oil & Its Fractns, Not Chemically Modifd",15,366111,358898
15131100,Crude Coconut (Copra) Oil,20442,2134823,1925401
15131900,"Coconut (copra) oil (excl. crude) & its fractions, refined or not but not chem. modified",9400,3119346,3034525
15132100,Crude Palm Kernel Or Babassu Oil,408530,92894219,91054731
15132900,"Refined Palm Kernel/Babassu Oil & Fractions,Not Chem.Modifd",407150,100612894,97735275
15153000,Castor Oil And Its Fractions,21510,7013167,6204273
15155000,Sesame Oil And Fractions,10397,3594391,2773659
15156000,Microbial fats and oils and their fractions,100,150201,147240
15159000,"Oth.Fixed Veg.Oil,Fats & Frac.,Nes(Ex.Maize/Castor/Tung/Sesamre/Jojobaoil)",361,721990,562926
15162000,"Vegetable fats and oils and their fractions, hydrogenated, etc",1145646,212251702,204151211
15163000,Microbial fats and oils and their fractions,916,3647516,3317974
15171010,"Margarine, excluding liquid margarine in 10kg or above packing",275070,46151203,44332219
15179000,"Edible Preparations Of Animal/Veg.Fats And Oils,Nes Incld.Liquid Margarine",145260,32205218,29940501
15180000,"Animal Or Vegetable Fats And Oils... Chemically Modified, Nes",3055974,421487080,412816609
16010000,"Sausages &Similar Prod.;Of Meat,Meat Offal,Blood,Prep.Based On These Prod.",80415,13964708,13484112
16021000,"Homogenized Preparations Of Meat, Meat Offal Or Blood",5280,8960213,8434492
16023200,"Prepared/Preserved Meat,Offal/Blood Of Fowls Of Species Gallus Domesticus",80284,11993472,11820945
16041400,"Prep./Preserved Tuna,Skipjack & Bonito Ex.Minced Whole/Inpieces",1372,684149,540751
16042000,"Other Prepared Or Preserved Fish, Including Minced, Nes",1500,767053,754605
16051000,"Crab, Prepared Or Preserved",5000,2182658,2024550
17011200,Other cane sugar,18,19920,19528
17011400,Other cane sugar,16225000,790057691,781531300
17019100,"Cane Or Beet Sugar, Containing Added Flavouring Or Colouring",1200,112302,110463
17019900,"Cane Or Beet Sugar, In Solid Form, Nes Including Chemically Kue Sucoose",33052608,2712670668,1967126463
17021100,Lactose And Lactose Syrup Cont.By Weight>=99% Lactose Calc. On Dry Matter,279980,77521578,76012030
17022000,Maple Sugar And Maple Syrup,2261,441729,416119
17023010,"Dextrose, Anhydrous/Monohydrate Bp/Vsp Pyrogen Free",955500,87716624,79298329
17023020,"Glucose & Glucose Syrup,Containing <20% Fructose,Liquid Glucose",24000,2389360,1858725
17023090,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO",168000,16444933,13033311
17026000,"Other Fructose And Fructose Syrup, Containing >50% Fructose",2400,450725,353482
17029000,"Artificial honey, caramel and other sugars (incl. invert sugar), nes",1102192,68138149,42914791
17031000,Cane Molasses Resulting From The Extraction Or Refining Of Sugar,2185712,65811195,42812670
17041010,"Chewing Gum Not Containing Cocoa, TV",22033,8275309,6938451
17049010,"Sugar confe (incl. white chocolate), not cont cocoa,nes Put up for retail sale",49956,18984130,14694476
17049090,"Sugar confei (incl. whit chocole), not cont cocoa, nes excl. Put up for retail sale",34241,12856472,8128837
18040000,"Cocoa Butter, Fat And Oil",182,671699,278344
18050000,"Cocoa Powder, Not Containing Added Sugar Or Other Sweetening Matter",153015,40782005,39982186
18061000,"Cocoa Powder, Containing Added Sugar Or Other Sweetening Matter",1817,382685,304753
18062000,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG, OR IN LIQUID..",91995,25192489,21918836
18063100,"Chocolate, Etc, Containing Cocoa, In Blocks, Slabs Or Bars, Filled, TV",23121,28915385,20621815
18063200,"Chocolate, Etc, Containing Cocoa In Blocks, Slabs Or Bars, Not Filled, TV",504,631026,309296
18069000,"OTHER CHOCOLATE & OTHER FOOD PREPARA. CONTAININGS COCOA, EXCL. FILLED/NOT FILLE, TV",30073,38409358,15709834
19011000,"Preparations suitable for infants or young children, put up for retail sale",720786,358387617,318924296
19012000,Mixes And Doughs For Preparation Of Bakers' Wares Of 19.05,184045,30486039,28817166
19019011,Filled milk powder,2181836,760142630,700612014
19019019,food prep's of goods excl. Filled milk powder imp by VAT reg milk products manu ind,25200,11128208,10871771
19019020,Dry Mixed Ingredient of food preparation in bulk imported by food processing industries,20000,6010737,5529043
19019030,Malt extract; food preparations for infant & children in bulk imported by food industry,1107811,626096405,610939647
19019040,"Nutritional supplement for pregnant women and breast feeding mothers, put up for",62,33792,7607
19019090,Other,359713,220515109,57610828
19021900,"Uncooked Pasta, Not Containing Eggs, Not Stuffed",33907,4368326,3183739
19022000,"Stuffed Pasta, Whether Or Not Cooked/Prepared",10000,1107723,1085895
19023000,"Other Pasta, Nes",91553,10877737,8850955
19024000,Couscous,21,10513,2577
19030000,"Tapioca & Substitutes Prpd.From Starch In Flakes,Grains,Pearls,Sifting Etc",532092,41405061,37190032
19041000,Prepared food obtained by the swelling or roasting of cereals or cereal products,33441,12279352,9729136
19049000,"Cereals In Grain,Flakes,Worked Grains,Precooked,Otherwise Prepared, Nes",56817,18412245,10996242
19051000,Crispbread,1523,913312,316156
19053100,"SWEET BISCUITS, TV",24199,12175070,10289908
19053200,"WAFFLES AND WAFERS, TV",29128,16371271,13620397
19054000,"Rusks, Toasted Bread And Similar Toasted Products",789,661458,177306
19059000,"Pastry,Cakes,Other Bread, Etc, Nes; Communion Wafers, Rice Paper, Etc, TV",20636,14309281,11320481
20019000,"Oth.Veg.Fruits,Nuts&Edible Parts Of Plants Preserved By Vinegar/Acetic Aci",34459,3479647,2538776
20021000,"Tomatoes, Whole Or In Pieces, Preserved Other Than By Vinegar, Etc",29087,3636330,3440277
20029000,"Tomatoes,Oth.Than Whole Or Pieces Preserved Otherwise Than By Vinegar,Nes",117212,12335940,10907475
20031000,"Mushrooms, Preserved Otherwise Than By Vinegar Or Acetic Acid",169531,16963381,16399561
20039000,"OTHER MUSHROOMS&TRUFFLES,PREPARED OR PRESE.OTHERW.THAN BY VINE.ACETIC ACID",15442,1550307,1489420
20041000,"Potatoes,Preserved Not By Vinegar/Acetic Acid,Frozen (Excl.Prods. Of 2006)",109624,20249568,19773846
20052000,"Potatoes, Preserved Other Than By Vinegar Or Acetic Acid, Not Frozen",21106,13334082,10921015
20054000,"Peas, Preserved Other Than By Vinegar Or Acetic Acid, Not Frozen",23613,3167292,2482009
20055100,"Shelled Beans, Preserved Other Than By Vinegar, Etc, Not Frozen",4177,414420,255398
20055900,"Beans, Unshelled, Preserved Other Than By Vinegar, Etc, Not Frozen",15185,3471570,3168124
20058000,"Sweetcorn, Preserved Other Than By Vinegar Or Acetic Acid, Not Frozen",36538,3118042,2583874
20059900,"Other vegetables and mixtures of vegetables:, Excl. Bamboo shoots",1800,3274059,3060041
20060000,"Vegetables,Fruit,Nuts,Fruitpeel & Other Parts Of Plants,Preserved By Sugar",985,701448,424051
