hscode,description,net_wt_kg,assess_value_bdt
39262090,Art.Of App.&Clothing Accessories(Exl.Gloves)Of Plastics Hd.No.39.01-39.04,2935241,1452514536
39264000,Statuettes And Other Ornamental Articles Of Plastics,2106,7323308
39269010,Plastic Coil Used As Contraceptive And Coil Inserter,1546,1822759
39269030,"Parts And Fittings For Infusino Set, Of Plastics",4511,1732630
39269050,Taflon tape/PTFE tape,707,55734
39269091,Conveyor or transmission belts of belting,3515,2419823
39269093,PLASTIC FRAME WORKS IMP. BY INDUS. IRC VAT COMPLI CABLE MFG. INDU.,93,100364
39269099,"PVC scrn.having intrnl.dia.from 4-8 Mulch and strct.thereof used in agri.& hoti.,nes",605392,400013264
40011000,"Natural Rubber Latex, In Primary Forms Or In Plates, Sheets Or Strips",33072,8917136
40012200,"Technically Specified Natural Rubber, In Primary Forms Or In Plates, Etc",19200,5400138
40012900,"Other Natural Rubber, In Primary Forms Or In Plates, Etc, Nes",47472,15284297
40021100,Latex Of Styrene-Butadiene Or Carboxylated Styrene-Butadiene Rubber,205587,31448828
40021900,"Styrene-Butadiene Rubber; Carboxylated Styrene-Butadiene Rubber, Nes",322794,89215956
40022000,"Butadiene Rubber, In Primary Forms Or In Plates, Sheets Or Strip",265505,59416514
40024900,Chloroprene (Chlorobutadiene) Rubber (Excl. Latex),244,462477
40025100,Latex Of Acrylonitrile-Butadiene Rubber,59600,12457790
40025900,Acrylonitrile-Butadiene Rubber (Excl. Latex),7350,1104296
40026000,Isoprene Rubber,28000,6351919
40029100,"Latex Of Synthetic Rubber, Nes",8225,2158183
40029900,"Other Synthetic Rubber (Excl. Latex), Nes",228575,86724692
40030000,"Reclaimed Rubber In Primary Forms Or In Plates, Sheets Or Strip",16,94779
40051000,"Rubber Compounded With Carbon Black Or Silica, Unvulcanized",318570,110457766
40059100,"Plates, Sheets And Strip Of Unvulcanized, Compounded Rubber, Nes",22253,26556975
40059900,"Compounded Rubber, Unvulcanized, In Primary Forms",57643,23019120
40069000,"Other Forms And Articles Of Unvulcanized Rubber, Nes",33516,44224101
40070000,Vulcanized Rubber Thread And Cord,645017,213754974
40081100,"Plates, Sheets And Strip Of Cellular Vulcanized Rubber",35796,7504077
40081900,"Rods And Profile Shapes Of Cellular Vulcanized Rubber, Nes",5700,2205885
40082100,"Plates, Sheets And Strip Of Non-Cellular, Vulcanized Rubber(Excl. Hard)",28206,15831837
40082900,"Rods And Profile Shapes Of Non-Cellular, Vulcanized Rubber (Excl. Hard)",476,327328
40091200,"TUBES,PIPES & HOSES ..NOT REINFORCED OR OTHERWISE COMB.WITH MAT.WITH FITT.",37,53368
40101200,Conveyor Belts/Belting Of Vulcanised Rubber Reinf'D Only With Textile Mats,26,77114
40101900,"Conveyor Belts Or Belting, Of Vulcanised Rubber, Nes",1296,2986581
40103100,"ENDLESS TRNSMSN.BELTS OF TRPZDL.CROSS-SEC.(V-BLT),V-RIBBED OF..>60CM,<180",2,71882
40103200,"ENDLESS TRNSMSN.BELTS OF TRPZODL.CROS-SECTION(V-BELTS),OTHER..>60CM<180CM",2,59797
40103500,"ENDLESS SYNCHRONOUS BELTS,OF AN OUTSIDE CIRCUMFERENCE EXCEEDING >60CM,<150",347,1956982
40103600,"ENDLESS SYNCHRONOUS BELTS,OF AN OUTSIDE CIRCUMFERENCE >150CM,<198CM",1,58572
40103990,"TRANSMISSION BELTS OR BELTING,NES OTHER THAN RUBBER BELT ROUND<10"" dia/Flat",0,4084
40112090,"New pneumatic tyres, of rubber of a kind used on buses or lorries",834,626589
40113000,"New Pneumatic Tyres, Of Rubber For Aircraft",132,192024
40115000,"New Pneumatic Tyres, Of Rubber Of A Kind Used On Bicycles",96205,65407910
40118000,"Of a kind used on construction, mining or industrial handling vehicles and machines",68,50081
40121300,OF A KIND USED ON AIRCRAFT,1972,3414540
40129090,"Solid... tyres, interchangeable tyre treads and flaps, of rubber, nes",2584,3870729
40132000,"Inner Tubes, Of Rubber Of A Kind Used On Bicycles",16670,13659136
40149000,"Hygienic Or Pharmaceutical Articles Of Vulcanized Rubber, Nes",1027,5930507
40151200,"Gloves, mitteens..Of a kind used for medical, surgical, dental or veterinary purposes",8,7972
40151900,Gloves Of Vulcanized Rubber (Excl. Surgical Gloves),500,1364495
40159000,"Articles Of Apparel And Clothing Accessories Of Vulcanized Rubber, Nes",296087,355033479
40161000,Articles Of Vulcanized Cellular Rubber,6437,14778043
40169100,"Floor Coverings And Mats Of Vulcanized Rubber, Non-Cellular",282,8373
40169300,"Gaskets, Washers And Other Seals, Of Vulcanized Rubber",709,10120892
40169500,"Inflatable Articles, Of Vulcanized Rubber, Nes",3645,7312712
40169910,"ARTICLES OF VULCANIZED RUBBER, RUBBER CO /APRON",647,9571385
40169920,Rubber bearing,57,67493
40169990,"ARTICLES OF VULCANIZED RUBBER,NES EX.RUBBER COT/APRON",80191,106840515
40170000,"HARD RUBBER(FOR EX.,EBONITE) IN ALL FORMS,INCL.WASTE AND SCRAP; ARTICLES OF HARD RUBBER",229,146930
41015000,"WHOLE HIDES AND SKINS, OF A WEIGHT EXCEEDING 16KG",26426,3803791
41019000,"OTHER, INCLUDING BUTTS, BENDS AND BELLIES",1627,3261079
41041110,"Tanned or...,in the wet state (including wet-blue) full grains,.......Split leather",3142,5803807
41041190,"Tanned or...,in the wet state (inclu wet-blue) full grains, .....excl. Split leather",663698,219938053
41041910,"Tanned..wet-blue other than full grains unsplit, grain splits , split leather",128500,16088745
41041990,"Tanned..wet-blue other than full grains unsplit, grain splits , excl split leather",539452,36406150
41044110,Tanned or crust hieds. in the dry state full grains..Split leather,8064,11743146
41044190,Tanned or crust hieds. in the dry state full grains..Excl Split leather,4541,9866165
41044910,"Tanned or crust. in the dry state other than full grains...,Split leather",32521,52629762
41044990,"Tanned or crust. in the dry state other than full grains..., Excl Split leather",58162,101473637
41071100,"WHOLE HIDES AND SKINS,FULL GRAIN,UNSPLIT",29081,89476255
41071200,"WHO;E HIDES AND SKINS, GRAIN SPLITS",9115,17846154
41071900,"WHOLE HIDES AND SKINS, NES",204107,349176864
41079100,"OTHER INCL. SIDES,FULL GRAINS,INSPLIT",406,375562
41079200,"OTHER, INCLUDING SIDES, GRAIN SPLITS",194256,402704315
41079900,"OTHER,INCLUDING SIDES,NES",358899,677949658
41120000,"LEATHER FURTHER PREPARED AFTER TANNING OR CRUSTING,INC.PARCHMENT DRESSED..",30763,50983346
41131000,OF GOATS OR KIDS,10253,40716790
41139000,"LEATHR FUTHER PREPARED AFTER TUNNING OF CRUSTING,INCL PARCHMETN-DRSED..NES",1666,6507635
41142000,PATENT LEATHER & PATENT LAMINATED LEATHER;METALLISED LEATHER,13730,13003427
41151000,"COMPOSITION LEATHER WITH A BASIS OF LEAHTER OR LEATHER FIBR,IN SLABS...",40501,52141356
42021100,"Trunks, Suit-Cases..., Etc, With Outer Surface Of Leather,Or Of composition leather",86,67649
42022100,"Handbags With Outer Surface Of Leather, Or Composition Leather",15,12022
42022200,Handbags with outer.. with outer surface of sheeting of plastics or of tex.. material,30,91623
42022900,"Handbags, Nes",580,857894
42023200,Articles.... in pocket or handbag.. With outer surface of sheeting of plastics or....,3,14229
42023900,"Articles Normally Carried In Pocket Or Handbag, Nes",2,2067
42029200,With outer surface of sheeting of plastics or of textile materials,248,194282
42029900,"Cases And Containers, Nes, With Outer Surface Of Other Materials, Nes",45,36858
42031000,Articles Of Apparel Of Leather Or Of Composite Leather,652,3549648
42032900,"Gloves, Mittens And Mitts Nes, Of Leather Excl. For Sports",6841,3961178
42033000,Belts And Bandoliers Of Leather Or Of Composition Leather,49108,83419990
42034000,OTHER CLOTHING ACCESSORIES,41322,204932644
42050090,"Other articles of leather or of composition leather, NES",34830,13077558
42060090,"Articles of gut (excl. silk-worm), goldbeater's skin, bladders, nes",793,2448451
43021900,"Tanned Or Dressed Whole Furskins, Nes, Not Assembled",2336,5123164
43039000,"Articles Of Furskin, Nes",19,113866
43040000,Artificial Fur And Articles Thereof,3126,3805914
44012200,Non-Coniferous Wood In Chips Or Particles,2600,110576
44031100,"Treated with paint, stains, creosote or other preservatives :Coniferous",630,35494
44071100,"Wood sawn or chipped length., sliced -- of a thick. exc. 6 mm Con.Of pine (Pinus spp)",20648,1630501
44072900,Other Tropical Wood not specified in Subheading Note 2,17380,3494924
44079200,Beech Wood (Fagus Spp.) Sawn/Chipped Lengthwise Sliced Or Peeled >6m Thick,66,10949
44079900,"Wood, Nes Sawn Or Chipped Lengthwise, Sliced Or Peeled, >6mm Thick",50625,5209448
44123100,"Oth plywood cons. solely of sheets of wood (not bamboo),...not exceeding 6 mm thickne",2510,229122
44123300,"Other, with at leat one outer ply ..... tulipwood or walnut",2400,120857
44123900,"Other, with both outer plies of coniferous wood",63347,5450649
44129900,"Plywood, veneered panels and similar laminated wood, nes",1514,379137
44130029,"Treated Wood,Nes",8839,3286064
44149000,"Wooden frames for paintings, photographs, mirrors or.... Excluding Of tropical wood",31354,4930754
44170000,"Tools, tool bodies, tool handles, broom or brush bodies.lasts and trees, of wood.",7021,2309702
44182100,Doors and their frames and thresholds : Of tropical wood,380,157991
44182900,Doors and their frames and thresholds : excluding Of tropical wood,630,75778
44191100,"Bread boards, chopping boards and similar boards",5,31
44191200,Chopsticks,20,751
44211000,Clothes Hangers Of Wood,528,947416
44219100,Of bamboo,2251,455666
44219990,Other,7332,2145381
45020000,"Natural Cork, Debacked Or Roughly Squared..., Etc",2,25041
45049000,"OTH, AGGLOMERATED CORK(WITH OR WITHOUT A BINDING SUB-STANCE) AND ARTICLES OF AGG. CORK",470,323405
46012200,"Mats, matting and screens of vegetable materials Of rattan",2870,4302119
46012900,"Mats, matting and screens of vegetable materials, Excl. materials of bamboo &",932,3145724
46019900,"OTH, PLAITS AND SIMILAR PRODUCTS OF PLAITING MATERIALS...(EXCL. OF VEGETABLES MATERIALS)",7844,5496940
48010000,"Newsprint, In Rolls Or Sheets",123030,19739327
48022000,Paper And Paperboard As A Base For Photo-Sensitive... Paper,15287,9136023
48025590,Other Paper EXCL.ECG and ultrasonogram recording paper,54389,10253131
48025600,"OTHER PAPER OR PAPERBOARD, NOT CONTAINING...,WEIGHING 40 G/M2 OR MORE...",1120,294444
48025700,"OTHER,WEIGHING 40 G/M2 OR MORE BUT NOT MORE THAN 150G/M2",49561,9052934
48025800,WEIGHING MORE THAN 150G/M2,707920,128628818
48026100,"OTH.PAPER& PAPERBOARD,WEIGHT >10% BY WEIGHT OF TOTAL FIBRE CONTENT,IN ROLL",18509,2370752
48026900,"OTH. PAPER & PAPER BOARD, IN ROLL, NES",107683,10758720
48030000,"Toilet,Facial Tissue,Towel,Napkin Stock & Similar Paper, In Rolls Or Sheet",11734,5304846
48041100,"Unbleached Kraftliner, Uncoated Paper & Paperboard In Rolls Or Sheets",6194320,521285730
48041900,"Kraftliner,Uncoated(Excl.Unbleached),Paper & Paperboard,In Rolls Or Sheets",11831,1957936
48042190,"Unbleached Sack Kraft Paper,Uncoated In Rolls Or Sheets, Nes",335,395472
48042900,"Sack Kraft Paper (Excl. Unbleached), Uncoated, In Rolls Or Sheets",17255,4112402
48043100,"Unbleached Kraft Paper..., Weighing =<150g/M2",218638,19759101
48043900,"Kraft Paper... (Excl. Unbleached), Weighing =<150g/M2",245763,30758348
48044100,"Unbleached Kraft Paper..., Weighing >150g/M2 But <225g/M2",3985403,348995379
48044900,"Kraft Paper..., Weighing >150g/M2 But <225g/M2, Nes",686104,59999797
48045100,"Unbleached Kraft Paper..., Weighing >=225g/M2",2999359,265118663
48045900,"Kraft Paper..., Weighing >=225g/M2, Nes",15797,3281386
48051100,"FLUTING PAPER, SEMI-CHEMICAL FLUTING PAPER",7278024,600695141
48051900,"FLUTING PAPER,NES",2188118,197878057
48052400,"TESTLINER(RECYCLED LINER BOARD),WEIGHING 150G/M2 OR LESS",757247,66749079
48052500,TESTLINER(RECYCLED LINER BOARD)WEIGHING MORE THAN 150G/M2,225469,23860245
48053000,"Sulphite Wrapping Paper, Uncoated In Rolls Or Sheets",756,927925
48054000,"Filter Paper And Paperboard, Uncoated In Rolls Or Sheets",18173,8924846
48055000,"Felt Paper And Paperboard, Uncoated In Rolls Or Sheets",26506,3999123
48059190,"Fluting paper, NES, weighing 150 g/m2 or less",358494,31520304
48059290,"Fluting paper, NES weighting more than 150 g/m2 but less than 225 g/m2",547528,47632738
48059390,"Fluting paper, NES weighing 225 g/m2 or more",19819,2367376
48062000,"Greaseproof Papers, In Rolls Or Sheets",38,91093
48063000,"Tracing Papers, In Rolls Or Sheets",13475,1937296
48064000,"Glassine And Other Glazed Transparent Or Translucent Papers, Nes",206192,61518147
48070000,"CMPST.PAPER&PAPER BOARD,NOT SURFACE -COATED OR IMPREGBATED..,IN ROLL/SHEET",48313,2212354
48081000,"Corrugated Paper And Paperboard, In Rolls Or Sheets",41219,6088221
48084000,"Kraft paper, creped or crinkled, whether or not embossed or perforated",4555,542809
48089000,"Paper And Paperboard, Corrugated, Creped, Etc, In Rolls Or Sheets, Nes",45357,6457646
48099090,"Carbon or similar copying papers, nes",112292,19886637
48101300,"MECHANICL OR CHEMICAL-MECHANICAL, IN ROOLS",589328,55765754
48101400,IN SHEETS WITH ONE SIDE <435MM AND OTH.SIDE <297 IN THE UNFOLDED STATE,4731,4700956
48101900,"PAPER&PAPERBOARD OF A KIND USED FOR WRITTING,PRINTING OR OTH.GRAPHIC..NES",786302,106765518
48102200,LIGHT-WEIGHT COATED PAPER,168232,26831128
48102900,"Paper... For Writing, Etc, >10% Mechanical Fibres, Coated...",265454,34452953
48103100,"Kraft Paper,Bleach By Chem.Process 95% Chem.Fibres,=<150g/M2,Coated(Ex...",1592,276450
48103200,"Kraft Paper, Bleach By Chem.Process >95% Chem.Fibres, >150g/M2,Coated(Ex..",77431,9104924
48103900,"Kraft Paper & P.Board,Beach By Chem.Process,Coated,Nes(Ex.Writing,Printing",583343,75133155
48109200,"OTHER PAPER & P.BOARD,MULTIPLY PAPER & PAPERBOARD",20969509,2524467033
48109910,Single/double side coated relse. paper Imp. by VAT reg. Refrigtr. or freez manf. Ind,104339,13833203
48109990,"Single/double side coated relse. paper Imp. by VAT reg. Refrigtr./freez manf. Ind,Nes",5817865,730755805
48111000,"Tarred, Bituminized Or Asphalted Paper And Paperboard",38293,12165403
48114100,Self-adhesive,330065,151530174
48114900,"SELF ADHESIVE,PAPER & PAPER BOARD, NES",274952,397181941
48115910,"PAPER & P.BOARD,PACK/ASCEPTIC PACK",9,18779
48115990,"PAPER,PAPERBOARD,CELLULOSE WADDING AND ...EXCL.TETRAPACK/ASCEPTIC PACK",2709,556876
48116090,"Paper and paperboard, coated...parafin wx, stearing oil,(excl. ultrasonograme rec.paper)",23084,5512740
48119029,Excl. Insulated paper imp. by VAT reg. electric fan/water pump motor manf. Ind.,638,199697
48119090,"Other Paper,Paperboard,Cellulose Wadding And Webs Of Cellulose Fibres,Nes",369259,86066549
48149000,"Wallpaper And Other Wall Coverings; Window Transparencies Of Paper, Nes",9372,2572668
48162000,Self-Copy Paper (Excl. Heading 48.09),22,14347
48169000,"Copying Or Transfer Paper, Nes; Offset Plates, Of Paper (Excl.Heading 4809",65472,9776944
48171000,Envelopes Of Paper Or Paperboard,8215,633861
48172000,"Letter Cards, Plain Postcards And Correspondance Cards Of Paper...",8918,1212656
48173000,"Boxes, Etc, Of Paper Or Paperboard Containing Paper Stationery",2232,237196
48181000,Toilet Paper,21771,3412798
48185000,Articles Of Apparel And Clothing Accssories Of Paper,153579,20242580
48189000,"Household, Sanitary Or Hospital Articles Of Paper..., Etc, Nes",25559,7091668
48191000,"Cartons, Boxes And Cases, Of Corrugated Paper Or Paperboard",7773405,1104110125
48192010,"Folding Cartons, Boxes And Cases, Of Non-Corrugated Paper Or Paperboard",72328,23819556
48192090,"Folding Cartons, Boxes And Cases, Of Non-Corrugated Paper Or Paperboard",137279,50317722
48193000,"Sacks And Bags, Having A Base Of A Width Of >=40cm Of Paper, Paperboard",3101,3148796
48194090,Other than Fruit Bag,1499,630453
48195000,"Packing Containers, Including Record Sleeves, Of Paper..., Nes",9395,3832722
48201000,"Registers,Acc.Books,Diaries,Similar Articles,Order & Receipt Books,Of ....",1503,568036
48203000,Binders (Other Than Book Covers) Folders & File Covers Of Paper/Paperboard,24,30048
48209000,"Blotting Pads, Book Covers And Other Articles Of Stationery Of Paper...Nes",2007,652819
48211000,Printed Paper Or Paperboard Labels Of All Kinds,1636303,1541229767
48219010,Sticker,10037,18217663
48219090,Excl. Sticker imp. by VAT reg. electric fan or water pump motor manf. Ind.,165451,122957465
48221000,"Bobbins, Spools..., Of Paper Or Paperboard For Winding Textile Yarn",187428,136922750
48229000,"Bobbins, Spools,Cops And Similar Supports Of Paper Or Paperboard, Nes",31226,5987829
48232000,"Filter Paper And Paperboard, Cut To Shape",55725,12144538
48234000,"Rolls, sheets and dials, printed for self recording apparatus",1113,1513763
48236900,"Trays, dishes, plates, cups and the like, of paper and paperboard Excl. Of bam",12185,6477240
48237090,"Moduled or pressed articles of paper pulp, Excl Gasket imp by VAT reg. comp. manu.",10427,4969788
48239010,"Paper And Paperboard, Cut To Size And Articls Of Paper",115320,27374130
48239091,Paper Separator,190,8569
48239092,Wrappers for confectionery,1315,140732
48239093,Surface coloured or printed paper or paper board,6574,3266362
48239099,"Paper And Paperboard, Cut To Size And Articles Of Paper, Etc, Nes",226052,59668673
49011000,"Printed Books, Brochures, Leaflets, Etc, In Single Sheets",1645,776778
49019930,Other books,69,21950
49019990,"Printed Books,Brichures,Leaflets&Similar Printed Metter, Nes",5653,2822879
49060000,Plans...For Archit...Purposes;Handwitten Texts;Photogr.Of Repo.Of The ....,10801,796408
49081010,Transfers(Decalcomanias) Imported By VAT Regd. Ceramic/Melamine Ind./Opal glassware,18,2571393
49081090,"Transfers(Decalcomanias), Vitrifiable, Nes",1433,15549070
49089000,Transfers (Decalcomanias) (Excl. Vitrifiable),43292,268434984
49090000,"Printed Or Illustrated Postcards; Printed Cards Bearing Greetings, Etc",179,3887148
49100000,"CALENDER OF ANY KIND, PRINTED, INCLUDING CALENDER BLOCKS",13,4735
49111000,"Trade Advertising Material, Commercial Catalogues And The Like",74390,12584956
49119100,"Pictures, Designs And Photographs",1892,5946036
49119990,"Other printed matter, including printed pictures and photographs., NES",114,2053908
50020000,Raw Silk (Not Thrown),4274,3210349
50040000,"Silk Yarn (Excl. Spun From Silk Waste), Not Put Up For Retail Sale",186,66982
50060000,"Silk yarn, put up for retail sale; silk-worm gut",55,28171
50071000,Woven Fabrics Of Noil Silk,6,5010
50072000,"Woven Fabrics Of Silk, Containing >=85% Silk Or Of Silk Waste",32199,27800847
50079000,"Printed Woven Fabrics, Containing <85% Silk",127,819732
51012900,"Degreased Wool (Excl. Shorn), Not Carbonised, Not Carded Or Combed",64,179892
51021100,"FINE ANIMAL HAIR,OF KASHMIR (CASHMERE) GOATS NES",537,6851299
51032000,"Other Waste Of Wool Or Of Fine Animal Hair, Not Garnetted Stock, Nes",46,28661
51052900,Wool tops and combed wool (excl. in fragments),24449,15723103
51061000,"Yarn Of Carded Wool, Not Put Up For Retail Sale, With >=85% Wool",696,2047508
51062000,"Yarn Of Carded Wool, Not Put Up For Retail Sale, With <85% Wool",954,2022015
51071000,"Yarn Of Combed Wool, Not Put Up For Retail Sale, With >=85% Wool",297826,820204893
51072000,"Yarn Of Combed Wool, Not Put Up For Retail Sale, With <85% Wool",49542,98992531
51081000,"Carded Yarn Of Fine Animal Hair, Not Put Up For Retail Sale",6,50163
51082000,"Combed Yarn Of Fine Animal Hair, Not Put Up For Retail Sale",74,147140
51091000,"Yarn, with >=85% wool or of fine animal hair, put up for retail sale",249,304530
51111100,"Woven Fbrcs.With>=85% Carded Wool Or Of Fine Animal Hair, =<300g/M2 Weight",21164,21179111
51111900,"Woven Fbrcs.With>=85%Carded Wool Or Of Fine Animal Hair, >300g/M2 Weight",641,4858391
51112000,"Woven Fabrics Of Carded Wool, Mixed With Man-Made Filaments",19,99720
51113000,"Woven Fabrics Of Carded Wool, Mixed With Man-Made Staple Fibres",3766,4380525
51119000,"Other Woven Fabrics Of Carded Wool Or Carded Fine Animal Hair, Nes",15,9391
51121100,"Woven Fabrics With>=85%Combed Wool/Of Fine Animal Hair,=<200g/M2 Weight",367,2846737
51121900,"Woven Fabrics With >=85% Combed Wool Or Of Fine Animal Hair, >200g/M2",972,1951170
51123000,"Woven Fabrics Of Combed Wool, Mixed With Man-Made Staple Fibres",62374,213642613
51129000,"Woven Fabrics Of Combed Wool Or Of Combed Fine Animal Hair, Nes",16713,36618789
52010000,"Cotton, Not Carded Or Combed",23,15657
52029100,Garnetted Stock Of Cotton,125743,12447193
52029910,Cotton waste,68120,9726716
52030000,"Cotton, Carded Or Combed",472601,149563700
52041100,"Cotton Sewing Thread, With >=85% Cotton, Not Put Up For Retail Sale",81529,44178335
52041900,"Cotton Sewing Thread, With <85% Cotton, Not Put Up For Retail Sale",7879,12273704
52042000,"Cotton Sewing Thread, Put Up For Retail Sale",97,38251
52051100,"Uncombed Sin.Cot.Yarn,With>=85%Cot.,Nprs,=>714.29 Decitex (<=14mn).",988954,320588636
52051200,"Uncom.Sin.Cot.Yarn,With>=85%Cot.Nprs,<714.29de(>14mn)But(>=232.56de)<=43mn",5235157,1684758794
52051300,"Uncom.Sin.Cot.Yarn,With>=85%Cot.,Nprs,<232.56(>43mn)But(>=192.31de)(<=52mn",2480989,970872003
52051400,"Uncombed Sin.Cot.Yarn,With>=85%Cot.Nprs,<192.31de(>52mn)But>=125de(<=80mn)",1178561,455960817
52052100,"Combed Single Cotton Yarn, With >=85% Cotton, Nprs,>=714.29 Decitex(<=14mn",1141208,463399969
52052200,"Combed Sin.Cot.Yarn,With>=85%Cot.,Nprs,<714.29(>14mn)But>=232.56de.(<=43mn",5428601,2000084551
52052300,"Com.Sin.Cot.Yarn,With>=85%Cot.,Nprs,<232.56deci(>43mm)But>=192.31de(<=52mn",11393188,4378109723
52052400,"Com.Sin.Cot.Yarn,With>=85%Cot.,Nprs,<192.31de.But>=125de>52mn But<=80mn",8531072,3384404264
52052600,"Com.Sin.Cot.Yarn,With>=85%Cot.,Nprs,<125 De.But >=106.38>80mn But<=94mm",416830,213945350
52052700,"Com.Sin.Cot.Yarn,With>=85%Cot.Nprs,<106.38de But>=83.33de>94mn But<=120mn",565933,275118041
52052800,"Combed Single Cotton Yarn, With >=85% Cotton, Nprs,<83.33 >120mn",871688,454153113
52053200,"Mul. Unco.Cabled Cotton Yarn,>=85%Cot.,Nprs,>14mn But<=43mn P.Single Yarn",1187718,584120355
52053300,"Uncombed Cabled Cotton Yarn,>=85%Cotton,Nprs,>43mn But<=52mn P.Single Yarn",30410,24993401
52053400,"Uncombed Cabled Cotton Yarn,>=85%Cotton,Nprs,>52mn But<=80mn P.Single Yarn",550660,201607114
52053500,"Uncombed Cabled Cotton Yarn, With>=85% Cotton, Nprs, >80mn Per Single Yarn",203,170629
52054100,"Combed Cabled Cotton Yarn, With >=85% Cotton, Nprs, <=14mn Per Single Yarn",66695,23922494
52054200,"Combed Cabled Cotton Yarn,With>=85%Cotton,Nprs,>14mn But<=43mn P.Sing.Yarn",731733,340528071
52054300,"Combed Cabled Cotton Yarn,With>=85%Cotton,Nprs,>43mn But<=52mn P.Sing.Yarn",163876,88579455
52054400,"Combed Cabled Cotton Yarn,>=85% Cotton,Nprs,>52mn But<=80mn Pr.Single Yarn",1346614,757513004
52054600,"Combed Cabled Cotton Yarn,>=85% Cotton,Nprs,>80mn But<=94mn Pr.Single Yarn",25388,22306003
52054700,"Combed Cabled Cotton Yarn,>=85% Cotton,Nprs,>94mn But<=120mn P.Single Yarn",37312,28626808
52054800,"Combed Cabled Cotton Yarn, With >=85% Cotton, Nprs, >120mn Per Single Yarn",3186,2256789
52061100,"Uncombed Single Cotton Yarn, With <85% Cotton, Nprs, <=14mn",71813,43161095
52061200,"Uncombed Single Cotton Yarn, With <85% Cotton, Nprs, >14mn But <=43mn",285783,140165937
52061300,"Uncombed Single Cotton Yarn, With <85% Cotton, Nprs, >43mn But <=52mn",277835,107832011
52061400,"Uncombed Single Cottonyarn, With <85% Cotton, Nprs, >52mn But <=80mn",140334,54416321
52061500,"Uncombed Single Cotton Yarn, With <85% Cotton, Nprs, >80mn",127,124700
52062100,"Combed Single Cotton Yarn, With <85% Cotton, Nprs, <=14mn",154958,160308795
52062200,"Combed Single Cotton Yarn, With <85% Cotton, Nprs, >14mn But <=43mn",190027,88604458
52062300,"Combed Single Cotton Yarn, With <85% Cotton, Nprs, >43mn But <=52mn",706561,265644072
52062400,"Combed Single Cotton Yarn, With <85% Cotton, Nprs, >52mn But <=80mn",1035378,446301947
52062500,"Combed Single Cotton Yarn, With <85% Cotton, Nprs, >80mn",499,290493
52063200,"Uncombed Cabled Cotton Yarn,<85% Cotton,Nprs,>14mn But<=43mn P.Single Yarn",98213,52349144
52063300,"Uncombed Cabled Cotton Yarn,<85%Cotton,Nprs,>43mn But<=52mn Pr.Single Yarn",9361,12022330
52064100,"Combed Cabled Cotton Yarn, With <85% Cotton, Nprs, <=14mn Per Single Yarn",151,100850
52064200,"Combed Cabled Cotton Yarn,<85% Cotton,Nprs,>14mn But<=43mn Per Single Yarn",326370,193442289
52064300,"Combed Cabled Cotton Yarn,<85% Cotton,Nprs,>43mn But<=52mn Per Single Yarn",97229,58889048
52064400,"Combed Cabled Cotton Yarn,<85% Cotton,Nprs,>52mn But<=80mn Per Single Yarn",64977,56424576
52064500,"Combed Cabled Cotton Yarn, With <85% Cotton, Nprs, >80mn Per Single Yarn",24990,7981778
52071000,"Cotton Yarn (Excl. Sewing), Put Up For Retail Sale, With >=85% Cotton",26585,9053473
52079000,"Cotton Yarn (Excl. Sewing), Put Up For Retail Sale, With <85% Cotton",808,696093
52081100,"Unbleached Plain Woven Fabrics Of Cotton With>=85%Cotton, =<100g/M2",309637,181075283
52081200,"Unbleached Plain Woven Fabrics Of Cotton>=85%Cotton,>100g/M2 But<200g/M2",180429,89933881
52081300,"Unbleached 3 Or 4-Thread Twill, With >=85% Cotton, <200g/M2",52835,28192260
52081900,"Unbleached Woven Cotton Fabrics, Nes, With >=85% Cotton",34372,15129687
52082100,"Bleached Plain Woven Fabrics Of Cotton With >=85% Cotton, =<100g/M2",12567,12040936
52082200,"Bleached Plain Woven Fbrcs.Of Cotton With>=85%Cotton,>100g/M2 But<200g/M2",166820,173115064
52082300,"Bleached 3 Or 4-Thread Twill (Incl. Cross Twill), With >=85% Cotton",105574,104032217
52082900,"Bleached Woven Cotton Fabrics, Nes, With >=85% Cotton",95133,143059623
52083100,"Dyed Plain Cotton Woven Fabrics With >=85% Cotton, =<100g/M2",126164,180947813
52083200,"Dyed Plain Cotton Woven Fabrics With >=85% Cotton, >100g/M2",788489,939624337
52083300,"Dyed 3 Or 4-Thread Twill (Incl. Cross Twill), With >=85% Cotton",376514,349525693
52083900,"Dyed Woven Cotton Fabrics, With >=85% Cotton, Nes",731846,835431983
52084100,"Coloured Plain Cotton Woven Fabrics With >=85% Cotton, =<100g/M2",33604,61712736
52084200,"Coloured Plain Cotton Woven Fabrics With >=85% Cotton, >100g/M2",945310,1067840477
52084300,"Coloured 3 Or 4-Thread Twill (Incl. Cross Twill), With >=85% Cotton",257422,239318439
52084900,"Coloured Woven Cotton Fabrics, With >=85% Cotton, Nes",690746,776004895
52085100,"Printed Plain Cotton Woven Fabrics With >=85% Cotton, =<100g/M2",82077,130836725
52085200,"Printed Plain Cotton Woven Fabrics With >=85% Cotton, >100g/M2",483000,639031210
52085900,"Printed Woven Cotton Fabrics, With >=85% Cotton, Nes",230712,289883863
