hscode,description,net_wt_kg,assess_value_bdt
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),5983,416036572
01051310,Parent stock of one day chick of ducks,326,6167348
01069000,"OTHER LIVE ANIMALS, NES",8,87069
03011100,"Ornamental fish, Freshwater",65,205343
03021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,1575,5822717
03021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",597906,74337659
03023190,"Fresh Or Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes),nes",22,11017
03023390,"Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes),nes",8,5634
03024210,"Anchovies (Engraulis spp), Wrapped/canned upto 2.5 Kg",2,1438
03024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",11,10997
03024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",22,16525
03028490,"Seabass (Dicentrarchus spp), EXCL. Wrapped/canned upto 2.5 Kg",78,78127
03031390,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), EXCL. Wrapped/canned upto",6513,4533944
03032490,"Other Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",30760,3446547
03032610,"Eels (Anguilla spp), Wrapped/canned upto 2.5 Kg",2,1127
03032990,"Fish frozen.. Excl. wrapped/canned upto 2.5kg ruhi, katla,..,karp and alike Other",11540,1292585
03034390,"Frozen Skipjack Or Stripe-Bellied Bonito(Excl.Livers & Roes),nes",103836,11631800
03034990,"Frozen Tunas, Nes, (Excl. Livers & Roes),nes",3000,336012
03035190,"Herrings (Clupea harengus,Clupea pallasii), NES",1573320,176248327
03035490,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped/can",411630,46134923
03035590,Other Jack and horse mackerel (Trachurus spp),130356,14607715
03035990,Wrapped/canned upto 2.5 kg,197835,49259108
03036310,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), Wrapped/canned upto 2.5 Kg",113,14204
03038390,"Toothfish (Dissostichus spp), EXCL. Wrapped/canned upto 2.5 Kg",183,137549
03038990,"Other fish, excluding livers and roes :",2226084,289573361
03046290,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), EXCL. Wrapped/canned u",84528,15792770
03048690,"Herrings (Clupea harengus, Clupea pallasii), EXCL. Wrapped/canned upto 2.5 Kg",68,68104
03048710,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito...pelamis),Wrapped/canne",819,153288
03048790,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito...pelamis), EXCL. Wrappe",578,172316
03049490,Other Alaska Pollack (Theraga chalcogramma),1,795
03054110,"Smoked Pacific, Atlantic & Danuve Salmon & Fillets, Wra./Can. Upto 2.5kg",700,487478
03054190,"Smoked Pacific, Atlantic & Danuve Salmon & Fillets, Nes",102,70742
03055410,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sa",8,1661
03055490,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sa",39,12206
03055990,"OTHER DRIED FISH(EXCL.COD),NES",1511290,387355556
