hscode,description,net_wt_kg,assess_value_bdt
01051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),5928,317639707
01063900,OTHER BIRDS,250,8015619
01069000,"OTHER LIVE ANIMALS, NES",195,3699379
03011100,"Ornamental fish, Freshwater",57,178486
03021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,980,1841087
03021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",713040,87503192
03023390,"Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes),nes",10,4659
03024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",20,20038
03024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",138,124299
03025190,"Fish of the families Bregmacerotidae, Euclichthyidae,..:, Cod (Gadus morhua, ...), EX",70,69924
03025490,"Hake (Merluccius spp, Urophycis spp), EXCL. Wrapped/canned upto 2.5 Kg",50,49946
03032490,"Other Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",105450,11798303
03032990,"Fish frozen.. Excl. wrapped/canned upto 2.5kg ruhi, katla,..,karp and alike Other",64000,7149539
03034390,"Frozen Skipjack Or Stripe-Bellied Bonito(Excl.Livers & Roes),nes",58650,6567803
03035190,"Herrings (Clupea harengus,Clupea pallasii), NES",414440,46428609
03035490,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wrapped/can",253070,28344070
03035590,Other Jack and horse mackerel (Trachurus spp),325540,36449038
03035990,Wrapped/canned upto 2.5 kg,298500,74222322
03038990,"Other fish, excluding livers and roes :",1844405,232327240
03046210,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), Wrapped/canned upto 2.",33000,6163173
03046290,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), EXCL. Wrapped/canned u",256550,49214567
03048690,"Herrings (Clupea harengus, Clupea pallasii), EXCL. Wrapped/canned upto 2.5 Kg",150,150310
03048790,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito...pelamis), EXCL. Wrappe",18,18286
03055290,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ict",4705,1463933
03055990,"OTHER DRIED FISH(EXCL.COD),NES",1692557,426931156
03063610,Other shrimps and prawns,16,2536437
03063690,Other shrimps and prawns,32,7119558
03072110,"Scallops, Live, Fresh Or Chilled Wrapped/Canned Upto 2.5kg",40,40080
03074290,"Live, fresh or chilled",40,39955
03074310,"Cuttle fish and squid , Frozen, Wrapped/canned upto 2.5 kg",9160,2005174
03075190,"Octopus Live, Fresh Or Chilled,Nes",50,49946
03089090,Other than Jellyfish (Rhopilema spp) EXCL. Wrapped/canned upto 2.5 Kg,10,31312
04011010,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Wrapped/Canned upto 2.5 kg",12674,1191150
04011090,"Milk And Cream Of <=1% Fat,Not Concentrated Or Sweetened, Nes",3338,2024321
04012010,"Milk & Cream Of>1%But<=6%Fat,Not Concentrated Or Sweetened,Wrap./Cann. upto 2.5 kg",25175,3142449
04015010,"Milk & cream ..added sugar or ..Of a fat content, by weight, >10%, Wrapped./Canned upto",16,10147
04021010,"Milk&Cream In Powder Forms<=1.5%Fat,Con... Or Sweet.,In Reta.Pk.Upto 2.5kg",1269,673493
04021090,Other,2862225,921514937
04021091,MILK AND CREAM IN SOLID FORMS OF =<1.5% FAT IMPORTED BY VAT REG. MILK AND MILK PRODUC,199975,54679215
04022110,"Milk&Cream In Powder Forms >1.5%Fat,Notsweetened R.Pkt.=<2.5kg",1350,823527
04022190,,9228350,4203178643
04029900,Sweetened Milk And Cream (Excl. In Solid Form),13022,864280
04039000,"BUTTERMILK, CURDED MILK AND CREAM.., EXCL. YOGURT",3296,929263
04049000,"Products Consisting Of Natural Milk Constituents, Nes",125120,15609986
04051000,Butter,7241,3916350
04059000,Fats And Oils Derived From Milk (Excl. Butter And Dairy Spreads),50400,40941107
04061000,"Fresh (Unripened Or Uncured)Cheese, Including Whey Cheese And Curd",410,153755
04062000,Grated Or Powdered Cheese,0,125
04063000,"Processed Cheese, Not Grated Or Powdered",53263,27926175
04069000,"Cheese, Nes",53420,25138805
04071900,Birds Fertilised eggs for incubation EXCL. Of fowls of the species Gallus domesticu,188,1290013
04079000,"Birds egg, Excluding Fertilised eggs for incubation",216,94690
04090010,"Naturel honey, wrapped/canned upto 2.5 kg",9690,6031776
04090090,"Naturel honey, Exclu. wrapped/canned upto 2.5 kg",117930,45871281
05010000,"Human Hair And Waste, Unworked",89011,145431300
05021000,"Pigs', Hogs', Or Boars' Bristles Or Hair & Waste There Of",4,1480
05029000,Badger And Other Brush Making Hair & Waste There Of,58,51787
05051000,Raw Feathers For Stuffing; Down,3,3719
05080000,"Coral; Shells Of Molluscs, Crustaceans, Unworked",84000,2099508
05119100,"Products Of Fish, Crus.,Mollus.,Other Aquatic, Invet Dead Anim.Of Chapt. 3",301876,22714757
05119910,"Animal Products, Nes; ...,Unfit For Human Consun. Wrapped/canned upto 2.5 kg",9810,84201218
05119990,"Animal Products, Nes; ...,Unfit For Human Co. Excl. Wrapped/canned upto 2.5 kg",7560,21393600
06012000,"Bulbs, Tubers... Rhizomes In Growth Or Flower; Chicory Plants And Roots",534,478234
06022000,"Trees,Shrubs,Bushes, Grafted Or Not, Of Kind Bearing Edible Fruit Or Nuts",13005,819139
06023000,"Rhododendrons And Azaleas, Grafted Or Not",51268,2731730
06024000,"Roses, Grafted Or Not",39120,2130523
06029010,"Other Live Plants,Cutting And Slips, Mushroom Spawn",500,531706
06029090,"Other Live Plants,Cutting And Slips, Mushroom Spawn",49858,4776621
06031100,Roses,2885,1765661
06031200,Carnations,948,593399
06031300,Orchids,368,230273
06031400,Chrysanthemums,927,580386
06031500,Lilies (Lilium spp),2212,1385346
06031900,Cut flowers & flower buds of a kind suitable for bouquets or for ornamental pur,3295,2063612
06042000,"Foliage, branches and other parts of plants, without flowers .or otherwise prepared, Fr",480,300588
07011090,"Seed Potatoes, Nes",754400,151295076
07020019,"Tomatoes, Fresh, Nes",28609,1899478
07031019,"Onions, Fresh Or Chilled, Nes",49888623,2566018063
07032090,"Garlic, Fresh Or Chilled, Nes",7872664,985653211
07039090,"Leeks And Other Alliaceous Vegetables, Nes, (excl. Wrapped/Canned upto 2.5 kg)",1813,455860
07041090,"Cauliflowers And Headed Broccoli, Fresh Or Chilled, Nes",861,269591
07042090,"Brussels Sprouts, Fresh Or Chilled, Nes",224,70568
07051190,"Cabbage Lettuce, Fresh Or Chilled, Nes",22483,4238956
07061090,"Carrots And Turnips, Fresh Or Chilled, Nes",4190,223346
07069090,"Salad Betroot..Radishes & Similar Edible Roots,Fresh Or Chilled, Nes",792,209330
07070090,"Cucumbers And Gherkins, Fresh Or Chilled, Nes",698,174854
07081090,"Peas, Shelled Or Unshelled,Fresh Or Chilled, Nes",66160,4153456
07082090,"Beans, Shelled Or Unshelled Fresh Or Chilled, Nes",580,181536
07092090,"Asparagus, Fresh Or Chilled, Nes",222,70051
07094090,"Celery Other Than Celeric, Fresh Or Chilled, Nes",413,129278
07095190,"Mushrooms, Fresh Or Chilled, Nes",130,81652
07096019,"Sweet Peppers, Fresh Or Chilled, Nes",251,63443
07096099,"Other Fruits Of Genus Capiscum Or Pimenta,Fresh Or Chilled,Nes,(excl. Wrd/Ca upto 2.5kg)",232220,17548254
07099390,"Pumpkins, squash and gourds (Cucurbita spp), EXCL. Wrapped/canned upto 2.5 Kg",180,55775
07099990,"Other Vegetables NES, EXCL. Wrapped/canned upto 2.5 Kg",1229,239273
07102190,"Shelled Or Unshelled Peas Uncooked/Cooked By Steaming/Boiling Frzn, Nes",3000,540388
07104090,"Sweet Corn Uncooked Or Cooked By Steaming Or Boiling Frozen, Nes",45000,5808533
07108090,"Vegetable Uncooked Or Cooked By Steaming Or Boiling Frozen,Nes,(Excl.Wrap/Can upto 2.5Kg",11940,1061820
07122090,"Dried Onions Cut, Whole, Broken, Powder, Nes",20500,6447674
07123490,Shiitake (Lentinus edodes),1500,225445
07129010,"Dried vegetable, whole ............., Sweet corn",1215,1999024
07129092,DIHYDRATED CHIVES IMPORTED BY VAT REGI.BISCUITS AND BAKERY PRO.MFG,11900,7445341
07129099,"Other Dried Vegetable, Whole, Cut Sliced... Not Further Nes,(Excl.Wrap/Can upto 2.5 kg)",212375,50108662
07131090,"Dried Peas Shelled, Nes",5962472,290688490
07132090,"Dried Chickpeas (Garbanzos) Shelled, Nes",58575980,5048578153
07133190,"Dried Beans Of The Species, Vigna Mungo(L) Hepper/V.Radiata, Shelled, Nes",4082500,565260209
07133290,"Dried Small Red(Adzuki)Beans Shelled, Nes",1,6889
07133990,"Dried Other Beans, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",2274850,256440586
07134010,"Dried Lentils, Shelled, Wrapped/Canned upto 2.5 kg",47,6242
07134090,"Dried Lentils, Shelled, Nes",47174414,3895443028
07139090,"Dried Leguminous Vegetables, Shelled, Nes, (Excl. Wrapped/Canned upto 2.5 kg)",11193832,784492912
08011190,"Desiccated Coconuts Fresh Or Dried,Nes",260250,28450998
08011290,Other coconuts in the inner shell (endocarp) EXCL. Wrapped/canned upto 2.5 Kg,159,99704
08011990,"Coconuts, Not Desiccated,Fresh Or Dried,Nes",20840,2610235
08013110,"Cashew Nuts, In Shell, Fresh Or Dried,Wrapped/Canned Upto 2.5kg",6,720
08013190,"Cashew Nuts, In Shell, Fresh Or Dried,Nes",27000,5547105
08013290,"Casweh Nuts, Shelled, Fresh Or Dried, Nes",182780,93721201
08021190,"Almonds In Shell, Fresh Or Dried, Nes",103,51606
08021290,"Almonds Shelled, Resh Or Dried,Nes",259163,128896724
08023290,"Walnuts Shelled Fresh Or Dried, Nes",147000,73209001
08025210,"Pistachios, Shelled, Wrapped/canned upto 2.5 Kg",9,16907
